code,google/gemma-4-12B_max,google/gemma-4-12B_mean,avg
war_Latn,0.7961,0.2047,0.7961
nso_Latn,0.5437,0.1427,0.5437
hau_Latn,0.5146,0.1094,0.5146
sin_Sinh,0.7573,0.1954,0.7573
lit_Latn,0.8835,0.3614,0.8835
afr_Latn,0.9709,0.4567,0.9709
pes_Arab,0.7961,0.2663,0.7961
mkd_Cyrl,0.9029,0.3864,0.9029
kor_Hang,0.9126,0.3364,0.9126
ind_Latn,0.9709,0.4484,0.9709
kir_Cyrl,0.6796,0.1757,0.6796
arb_Arab,0.9126,0.3503,0.9126
tsn_Latn,0.4078,0.1133,0.4078
fin_Latn,0.9223,0.3951,0.9223
ibo_Latn,0.699,0.1942,0.699
spa_Latn,0.9417,0.4416,0.9417
ell_Grek,0.9029,0.379,0.9029
kat_Geor,0.8738,0.3127,0.8738
slk_Latn,0.8738,0.3701,0.8738
nya_Latn,0.6602,0.1954,0.6602
kaz_Cyrl,0.6893,0.1789,0.6893
ben_Beng,0.8835,0.2853,0.8835
hat_Latn,0.7379,0.1993,0.7379
ory_Orya,0.6796,0.1894,0.6796
tir_Ethi,0.7087,0.1712,0.7087
hun_Latn,0.9515,0.4272,0.9515
eus_Latn,0.2718,0.0503,0.2718
sot_Latn,0.534,0.153,0.534
urd_Arab,0.6796,0.1916,0.6796
kan_Knda,0.6699,0.1859,0.6699
nob_Latn,0.9709,0.4819,0.9709
lug_Latn,0.3689,0.0812,0.3689
zsm_Latn,0.7184,0.2037,0.7184
fra_Latn,0.9709,0.4959,0.9709
tgk_Cyrl,0.8155,0.2122,0.8155
dan_Latn,0.9709,0.4914,0.9709
shn_Mymr,0.1748,0.0248,0.1748
urd_Latn,0.5728,0.1375,0.5728
pan_Guru,0.7573,0.233,0.7573
xho_Latn,0.5437,0.1433,0.5437
pol_Latn,0.9903,0.4577,0.9903
tha_Thai,0.8932,0.3077,0.8932
por_Latn,0.9417,0.4341,0.9417
guj_Gujr,0.7379,0.2267,0.7379
tam_Taml,0.8155,0.256,0.8155
fuv_Latn,0.1068,0.017,0.1068
tso_Latn,0.4272,0.1056,0.4272
luo_Latn,0.1068,0.019,0.1068
eng_Latn,1.0,1.0,1.0
hrv_Latn,0.8835,0.3557,0.8835
amh_Ethi,0.8932,0.2746,0.8932
slv_Latn,0.8641,0.3281,0.8641
mal_Mlym,0.8641,0.2641,0.8641
wol_Latn,0.068,0.0109,0.068
tur_Latn,0.767,0.253,0.767
cat_Latn,0.8738,0.3384,0.8738
hin_Deva,0.8738,0.315,0.8738
hin_Latn,0.5534,0.1355,0.5534
mar_Deva,0.8252,0.232,0.8252
swh_Latn,0.9417,0.3638,0.9417
bul_Cyrl,0.9029,0.4139,0.9029
kin_Latn,0.4951,0.1423,0.4951
bam_Latn,0.1359,0.0264,0.1359
plt_Latn,0.7184,0.2063,0.7184
ary_Arab,0.466,0.1209,0.466
zul_Latn,0.6893,0.2076,0.6893
heb_Hebr,0.7282,0.231,0.7282
npi_Deva,0.835,0.254,0.835
ron_Latn,0.9612,0.4464,0.9612
ckb_Arab,0.5631,0.0834,0.5631
snd_Arab,0.5728,0.1375,0.5728
sun_Latn,0.3786,0.0921,0.3786
ilo_Latn,0.6019,0.1615,0.6019
som_Latn,0.5825,0.1127,0.5825
asm_Beng,0.7961,0.2245,0.7961
ukr_Cyrl,0.9709,0.4389,0.9709
tel_Telu,0.8155,0.21,0.8155
tgl_Latn,0.8932,0.364,0.8932
deu_Latn,0.9223,0.3733,0.9223
swe_Latn,0.9126,0.4187,0.9126
rus_Cyrl,0.9612,0.5134,0.9612
nld_Latn,1.0,0.5427,1.0
yor_Latn,0.699,0.1859,0.699
khm_Khmr,0.7767,0.2049,0.7767
sna_Latn,0.6408,0.1797,0.6408
mya_Mymr,0.5825,0.1322,0.5825
srp_Cyrl,0.9223,0.385,0.9223
lin_Latn,0.5825,0.1224,0.5825
ces_Latn,0.9417,0.4353,0.9417
mri_Latn,0.5146,0.1114,0.5146
kac_Latn,0.0485,0.0075,0.0485
vie_Latn,0.8835,0.3297,0.8835
est_Latn,0.8641,0.3406,0.8641
mlt_Latn,0.8155,0.2821,0.8155
isl_Latn,0.8252,0.3168,0.8252
ita_Latn,0.9417,0.5039,0.9417
jav_Latn,0.5534,0.1304,0.5534
ceb_Latn,0.8738,0.2635,0.8738
ssw_Latn,0.534,0.1331,0.534
arz_Arab,0.9612,0.4432,0.9612
hye_Armn,0.8738,0.3188,0.8738
