code,Qwen/Qwen3-Embedding-4B_max,Qwen/Qwen3-Embedding-4B_mean,avg
afr_Latn,0.9951,0.6091,0.9951
arz_Arab,0.9792,0.5643,0.9792
gaz_Latn,0.1374,0.0362,0.1374
mya_Mymr,0.6453,0.1039,0.6453
guj_Gujr,0.9249,0.3179,0.9249
eus_Latn,0.6275,0.2616,0.6275
wol_Latn,0.3093,0.0987,0.3093
jpn_Jpan,0.9862,0.6801,0.9862
ceb_Latn,0.8745,0.4051,0.8745
tur_Latn,0.9753,0.5535,0.9753
deu_Latn,1.0,0.736,1.0
zul_Latn,0.1848,0.0512,0.1848
hrv_Latn,0.9852,0.573,0.9852
cat_Latn,0.998,0.6441,0.998
yor_Latn,0.2787,0.0696,0.2787
bam_Latn,0.253,0.0665,0.253
slv_Latn,0.9536,0.5028,0.9536
tsn_Latn,0.248,0.065,0.248
xho_Latn,0.254,0.069,0.254
sin_Sinh,0.419,0.1121,0.419
glg_Latn,0.997,0.6711,0.997
swh_Latn,0.5277,0.1961,0.5277
tso_Latn,0.2342,0.0688,0.2342
heb_Hebr,0.9792,0.63,0.9792
mlt_Latn,0.7638,0.3353,0.7638
ben_Beng,0.9368,0.373,0.9368
spa_Latn,0.997,0.7511,0.997
som_Latn,0.2451,0.0753,0.2451
mri_Latn,0.415,0.1449,0.415
ckb_Arab,0.4318,0.1496,0.4318
dan_Latn,0.996,0.6546,0.996
ssw_Latn,0.2026,0.0522,0.2026
sun_Latn,0.8419,0.3835,0.8419
ars_Arab,0.9951,0.6499,0.9951
jav_Latn,0.8231,0.4073,0.8231
zho_Hans,0.9931,0.8003,0.9931
swe_Latn,0.9921,0.6625,0.9921
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.919,0.4654,0.919
nld_Latn,0.999,0.6715,0.999
lin_Latn,0.3221,0.1046,0.3221
fra_Latn,0.999,0.7529,0.999
por_Latn,1.0,0.7732,1.0
mar_Deva,0.9269,0.3612,0.9269
vie_Latn,0.998,0.7014,0.998
urd_Arab,0.9496,0.4193,0.9496
oci_Latn,0.9704,0.5371,0.9704
kaz_Cyrl,0.7421,0.2563,0.7421
shn_Mymr,0.1393,0.0081,0.1393
kat_Geor,0.7144,0.2652,0.7144
tam_Taml,0.8883,0.2575,0.8883
tha_Thai,0.9773,0.5089,0.9773
hat_Latn,0.6858,0.3018,0.6858
ell_Grek,0.9348,0.3802,0.9348
bod_Tibt,0.0563,0.0065,0.0563
hau_Latn,0.3271,0.1099,0.3271
ron_Latn,0.998,0.6366,0.998
ita_Latn,0.999,0.7133,0.999
ces_Latn,0.9891,0.5877,0.9891
pbt_Arab,0.6591,0.2588,0.6591
pan_Guru,0.917,0.2978,0.917
hin_Deva,0.9832,0.4408,0.9832
pes_Arab,0.9565,0.4971,0.9565
kir_Cyrl,0.6324,0.2145,0.6324
apc_Arab,0.9733,0.5914,0.9733
war_Latn,0.8271,0.3427,0.8271
lit_Latn,0.916,0.4789,0.916
sot_Latn,0.2559,0.0735,0.2559
tel_Telu,0.8686,0.258,0.8686
kea_Latn,0.8063,0.3701,0.8063
ast_Latn,0.9812,0.6149,0.9812
ilo_Latn,0.6117,0.2299,0.6117
acm_Arab,0.9812,0.6207,0.9812
khk_Cyrl,0.581,0.1795,0.581
amh_Ethi,0.335,0.0862,0.335
tir_Ethi,0.0958,0.019,0.0958
hye_Armn,0.8735,0.33,0.8735
khm_Khmr,0.6601,0.1754,0.6601
uzn_Latn,0.7915,0.3352,0.7915
ind_Latn,0.9951,0.686,0.9951
pol_Latn,0.9931,0.6059,0.9931
ibo_Latn,0.2174,0.0627,0.2174
kor_Hang,0.9852,0.5912,0.9852
kan_Knda,0.8982,0.2664,0.8982
nob_Latn,0.9881,0.6353,0.9881
sna_Latn,0.2204,0.0611,0.2204
hun_Latn,0.9773,0.5353,0.9773
lvs_Latn,0.9615,0.4732,0.9615
bul_Cyrl,0.9891,0.588,0.9891
fuv_Latn,0.2648,0.0881,0.2648
mal_Mlym,0.8824,0.2648,0.8824
plt_Latn,0.2609,0.0726,0.2609
slk_Latn,0.9842,0.5671,0.9842
ukr_Cyrl,0.9862,0.5553,0.9862
lug_Latn,0.2095,0.0662,0.2095
isl_Latn,0.6146,0.2084,0.6146
fin_Latn,0.8992,0.4625,0.8992
arb_Arab,0.998,0.6532,0.998
nya_Latn,0.247,0.0744,0.247
arb_Latn,0.33,0.1123,0.33
asm_Beng,0.8123,0.2715,0.8123
als_Latn,0.9111,0.4093,0.9111
lao_Laoo,0.6186,0.1567,0.6186
est_Latn,0.8992,0.4102,0.8992
zsm_Latn,0.9822,0.6234,0.9822
grn_Latn,0.496,0.1611,0.496
rus_Cyrl,0.996,0.6646,0.996
zho_Hant,0.996,0.7894,0.996
tgk_Cyrl,0.584,0.2251,0.584
kin_Latn,0.1808,0.0532,0.1808
