code,google/gemma-4-31B_max,google/gemma-4-31B_mean,avg
war_Latn,0.98,0.5584,0.98
oci_Latn,1.0,0.6328,1.0
pbt_Arab,0.94,0.4603,0.94
hau_Latn,0.92,0.461,0.92
sin_Sinh,0.96,0.389,0.96
lit_Latn,1.0,0.6556,1.0
afr_Latn,1.0,0.7608,1.0
pes_Arab,1.0,0.8003,1.0
zho_Hant,1.0,0.8374,1.0
uzn_Latn,0.97,0.5057,0.97
kor_Hang,0.99,0.7489,0.99
ind_Latn,1.0,0.8843,1.0
kir_Cyrl,0.92,0.4148,0.92
khk_Cyrl,0.92,0.3857,0.92
zho_Hans,1.0,0.86,1.0
arb_Arab,0.99,0.78,0.99
tsn_Latn,0.76,0.2985,0.76
fin_Latn,0.99,0.6892,0.99
ibo_Latn,0.81,0.3021,0.81
spa_Latn,1.0,0.918,1.0
lao_Laoo,0.94,0.4631,0.94
ell_Grek,0.98,0.6598,0.98
kat_Geor,0.96,0.4892,0.96
slk_Latn,0.99,0.7815,0.99
nya_Latn,0.89,0.4185,0.89
kaz_Cyrl,0.95,0.4964,0.95
ben_Beng,0.97,0.6956,0.97
hat_Latn,0.99,0.5793,0.99
tir_Ethi,0.69,0.2266,0.69
hun_Latn,1.0,0.7051,1.0
eus_Latn,0.99,0.5534,0.99
sot_Latn,0.9,0.3734,0.9
urd_Arab,0.96,0.6336,0.96
kan_Knda,0.94,0.5093,0.94
nob_Latn,1.0,0.8349,1.0
lug_Latn,0.68,0.261,0.68
zsm_Latn,1.0,0.8166,1.0
fra_Latn,1.0,0.9146,1.0
tgk_Cyrl,0.93,0.4272,0.93
dan_Latn,0.99,0.8531,0.99
shn_Mymr,0.55,0.0898,0.55
arb_Latn,0.86,0.3275,0.86
pan_Guru,0.95,0.4457,0.95
xho_Latn,0.87,0.4146,0.87
pol_Latn,1.0,0.8149,1.0
tha_Thai,0.99,0.7295,0.99
bod_Tibt,0.74,0.111,0.74
por_Latn,1.0,0.9311,1.0
glg_Latn,1.0,0.8279,1.0
guj_Gujr,0.96,0.5461,0.96
tam_Taml,0.95,0.5992,0.95
fuv_Latn,0.21,0.1069,0.21
tso_Latn,0.75,0.241,0.75
eng_Latn,1.0,1.0,1.0
hrv_Latn,1.0,0.8069,1.0
amh_Ethi,0.93,0.4259,0.93
slv_Latn,0.99,0.7375,0.99
mal_Mlym,0.93,0.5062,0.93
wol_Latn,0.47,0.1438,0.47
tur_Latn,0.98,0.7403,0.98
cat_Latn,1.0,0.8211,1.0
jpn_Jpan,1.0,0.7772,1.0
hin_Deva,1.0,0.7769,1.0
acm_Arab,0.97,0.7052,0.97
mar_Deva,0.96,0.641,0.96
swh_Latn,1.0,0.6748,1.0
ars_Arab,0.99,0.7797,0.99
bul_Cyrl,0.99,0.7818,0.99
kin_Latn,0.87,0.3707,0.87
bam_Latn,0.28,0.0846,0.28
plt_Latn,0.92,0.4482,0.92
zul_Latn,0.92,0.4103,0.92
heb_Hebr,0.99,0.6984,0.99
ron_Latn,1.0,0.8341,1.0
ckb_Arab,0.91,0.3598,0.91
kea_Latn,0.93,0.4813,0.93
sun_Latn,0.97,0.593,0.97
ilo_Latn,0.89,0.4282,0.89
som_Latn,0.92,0.4244,0.92
asm_Beng,0.9,0.4116,0.9
ukr_Cyrl,1.0,0.7846,1.0
gaz_Latn,0.67,0.1739,0.67
tel_Telu,0.92,0.5354,0.92
tgl_Latn,1.0,0.6979,1.0
als_Latn,0.98,0.6448,0.98
deu_Latn,1.0,0.9139,1.0
swe_Latn,1.0,0.8548,1.0
rus_Cyrl,1.0,0.8797,1.0
nld_Latn,1.0,0.8754,1.0
grn_Latn,0.69,0.222,0.69
yor_Latn,0.65,0.1908,0.65
khm_Khmr,0.9,0.4666,0.9
sna_Latn,0.84,0.3979,0.84
mya_Mymr,0.9,0.3333,0.9
ast_Latn,1.0,0.6946,1.0
lin_Latn,0.72,0.2851,0.72
ces_Latn,0.99,0.8169,0.99
mri_Latn,0.8,0.3418,0.8
vie_Latn,1.0,0.8561,1.0
apc_Arab,0.99,0.6657,0.99
est_Latn,1.0,0.6826,1.0
mlt_Latn,0.99,0.5905,0.99
isl_Latn,0.99,0.5392,0.99
ita_Latn,1.0,0.8961,1.0
jav_Latn,0.97,0.5641,0.97
ceb_Latn,1.0,0.6316,1.0
lvs_Latn,0.98,0.5957,0.98
ssw_Latn,0.69,0.278,0.69
arz_Arab,0.97,0.6495,0.97
hye_Armn,1.0,0.4589,1.0
