code,Qwen/Qwen3-Embedding-8B_max,Qwen/Qwen3-Embedding-8B_mean,avg
zho_Hans,0.998,0.811,0.998
jav_Latn,0.9476,0.534,0.9476
sun_Latn,0.9239,0.4908,0.9239
ssw_Latn,0.2727,0.0955,0.2727
ars_Arab,0.998,0.6774,0.998
mri_Latn,0.583,0.2354,0.583
ckb_Arab,0.6759,0.2427,0.6759
dan_Latn,0.997,0.6885,0.997
spa_Latn,0.999,0.7815,0.999
som_Latn,0.2875,0.1257,0.2875
por_Latn,1.0,0.7966,1.0
vie_Latn,0.999,0.7271,0.999
mar_Deva,0.9298,0.4442,0.9298
lin_Latn,0.3706,0.154,0.3706
fra_Latn,1.0,0.7929,1.0
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.9506,0.5691,0.9506
swe_Latn,0.999,0.7018,0.999
nld_Latn,0.997,0.7039,0.997
kaz_Cyrl,0.7826,0.3051,0.7826
shn_Mymr,0.1206,0.0212,0.1206
urd_Arab,0.9684,0.5077,0.9684
oci_Latn,0.9881,0.624,0.9881
bod_Tibt,0.081,0.0205,0.081
hau_Latn,0.3508,0.1632,0.3508
ell_Grek,0.7964,0.4041,0.7964
tam_Taml,0.9051,0.3686,0.9051
tha_Thai,0.9723,0.5674,0.9723
hat_Latn,0.8923,0.4294,0.8923
kat_Geor,0.8686,0.3934,0.8686
arz_Arab,0.9852,0.6161,0.9852
gaz_Latn,0.2045,0.0739,0.2045
afr_Latn,0.998,0.6578,0.998
deu_Latn,1.0,0.7633,1.0
tur_Latn,0.9684,0.5977,0.9684
ceb_Latn,0.9644,0.5377,0.9644
wol_Latn,0.337,0.1421,0.337
jpn_Jpan,0.9891,0.7058,0.9891
eus_Latn,0.8735,0.3924,0.8735
guj_Gujr,0.9328,0.4132,0.9328
mya_Mymr,0.6868,0.1659,0.6868
slv_Latn,0.9931,0.5865,0.9931
cat_Latn,1.0,0.6957,1.0
yor_Latn,0.2905,0.1047,0.2905
bam_Latn,0.253,0.0959,0.253
hrv_Latn,0.9891,0.6318,0.9891
zul_Latn,0.2757,0.1001,0.2757
mlt_Latn,0.9308,0.4564,0.9308
heb_Hebr,0.9921,0.6564,0.9921
tso_Latn,0.2628,0.1079,0.2628
ben_Beng,0.9644,0.4713,0.9644
glg_Latn,1.0,0.7215,1.0
swh_Latn,0.7263,0.3292,0.7263
tsn_Latn,0.2559,0.1047,0.2559
xho_Latn,0.3182,0.1236,0.3182
sin_Sinh,0.6621,0.2134,0.6621
bul_Cyrl,0.9891,0.6334,0.9891
plt_Latn,0.3182,0.1338,0.3182
fuv_Latn,0.2885,0.1242,0.2885
mal_Mlym,0.9071,0.3869,0.9071
lvs_Latn,0.9625,0.5514,0.9625
hun_Latn,0.9941,0.5885,0.9941
nob_Latn,0.9921,0.6822,0.9921
sna_Latn,0.2856,0.105,0.2856
ibo_Latn,0.2569,0.1053,0.2569
kan_Knda,0.8953,0.3306,0.8953
kor_Hang,0.9832,0.6509,0.9832
arb_Arab,0.997,0.6803,0.997
isl_Latn,0.8953,0.404,0.8953
fin_Latn,0.9545,0.5435,0.9545
slk_Latn,0.9862,0.6224,0.9862
ukr_Cyrl,0.9901,0.6133,0.9901
lug_Latn,0.2441,0.1001,0.2441
asm_Beng,0.8528,0.3435,0.8528
arb_Latn,0.584,0.2435,0.584
nya_Latn,0.3182,0.1258,0.3182
tgk_Cyrl,0.8824,0.3691,0.8824
kin_Latn,0.25,0.0975,0.25
rus_Cyrl,0.997,0.7067,0.997
zho_Hant,0.998,0.802,0.998
zsm_Latn,0.9931,0.6705,0.9931
grn_Latn,0.5484,0.2204,0.5484
est_Latn,0.9654,0.5394,0.9654
als_Latn,0.9713,0.5177,0.9713
lao_Laoo,0.8577,0.2625,0.8577
ces_Latn,0.9941,0.64,0.9941
ita_Latn,1.0,0.7483,1.0
ron_Latn,0.999,0.6769,0.999
sot_Latn,0.3063,0.1273,0.3063
lit_Latn,0.9763,0.5596,0.9763
war_Latn,0.9111,0.491,0.9111
tel_Telu,0.8567,0.3184,0.8567
hin_Deva,0.9763,0.4975,0.9763
pes_Arab,0.9664,0.5615,0.9664
apc_Arab,0.9763,0.631,0.9763
kir_Cyrl,0.8172,0.3195,0.8172
pbt_Arab,0.8449,0.3584,0.8449
pan_Guru,0.9348,0.3773,0.9348
tir_Ethi,0.1927,0.0615,0.1927
amh_Ethi,0.5326,0.1744,0.5326
khk_Cyrl,0.7332,0.2933,0.7332
ast_Latn,0.9951,0.6734,0.9951
ilo_Latn,0.7194,0.3289,0.7194
acm_Arab,0.9852,0.6565,0.9852
kea_Latn,0.8893,0.4912,0.8893
pol_Latn,0.9941,0.6538,0.9941
uzn_Latn,0.9259,0.4324,0.9259
ind_Latn,0.999,0.7161,0.999
khm_Khmr,0.8192,0.2486,0.8192
hye_Armn,0.9595,0.4421,0.9595
