code,Qwen/Qwen3-1.7B_max,Qwen/Qwen3-1.7B_mean,avg
kea_Latn,0.45,0.21,0.45
ast_Latn,0.96,0.4703,0.96
acm_Arab,0.92,0.4128,0.92
ilo_Latn,0.27,0.1014,0.27
khk_Cyrl,0.08,0.0259,0.08
amh_Ethi,0.03,0.0124,0.03
tir_Ethi,0.02,0.0062,0.02
hye_Armn,0.24,0.0731,0.24
khm_Khmr,0.06,0.0193,0.06
uzn_Latn,0.33,0.0828,0.33
ind_Latn,0.98,0.4772,0.98
pol_Latn,0.96,0.3838,0.96
ron_Latn,0.99,0.3893,0.99
ita_Latn,0.99,0.5197,0.99
ces_Latn,0.94,0.3683,0.94
pbt_Arab,0.14,0.0517,0.14
pan_Guru,0.2,0.0403,0.2
pes_Arab,0.7,0.2266,0.7
hin_Deva,0.59,0.1848,0.59
kir_Cyrl,0.11,0.0338,0.11
apc_Arab,0.91,0.38,0.91
war_Latn,0.46,0.1759,0.46
lit_Latn,0.82,0.2655,0.82
sot_Latn,0.11,0.0383,0.11
tel_Telu,0.13,0.0493,0.13
nya_Latn,0.1,0.0552,0.1
arb_Latn,0.1,0.0328,0.1
asm_Beng,0.14,0.0397,0.14
als_Latn,0.76,0.2231,0.76
lao_Laoo,0.06,0.0207,0.06
est_Latn,0.68,0.2034,0.68
zsm_Latn,0.96,0.429,0.96
grn_Latn,0.12,0.0531,0.12
rus_Cyrl,0.96,0.5038,0.96
zho_Hant,0.99,0.7324,0.99
tgk_Cyrl,0.11,0.0414,0.11
kin_Latn,0.08,0.0417,0.08
ibo_Latn,0.09,0.0403,0.09
kor_Hang,0.75,0.3241,0.75
kan_Knda,0.11,0.0397,0.11
nob_Latn,0.95,0.4476,0.95
sna_Latn,0.07,0.0379,0.07
hun_Latn,0.79,0.2693,0.79
lvs_Latn,0.84,0.2334,0.84
bul_Cyrl,0.94,0.3069,0.94
mal_Mlym,0.1,0.0338,0.1
fuv_Latn,0.14,0.091,0.14
plt_Latn,0.09,0.0383,0.09
slk_Latn,0.89,0.3252,0.89
ukr_Cyrl,0.91,0.3248,0.91
lug_Latn,0.1,0.0531,0.1
isl_Latn,0.31,0.0817,0.31
fin_Latn,0.85,0.2431,0.85
arb_Arab,0.95,0.4124,0.95
zul_Latn,0.08,0.0283,0.08
hrv_Latn,0.95,0.3528,0.95
cat_Latn,0.99,0.4286,0.99
yor_Latn,0.05,0.0369,0.05
bam_Latn,0.06,0.0331,0.06
slv_Latn,0.9,0.3269,0.9
tsn_Latn,0.11,0.0455,0.11
xho_Latn,0.09,0.0362,0.09
sin_Sinh,0.01,0.0059,0.01
glg_Latn,0.97,0.5228,0.97
swh_Latn,0.15,0.0545,0.15
tso_Latn,0.09,0.0476,0.09
heb_Hebr,0.9,0.3359,0.9
mlt_Latn,0.35,0.1238,0.35
ben_Beng,0.37,0.1034,0.37
afr_Latn,0.94,0.4069,0.94
gaz_Latn,0.05,0.021,0.05
arz_Arab,0.89,0.39,0.89
mya_Mymr,0.02,0.0038,0.02
guj_Gujr,0.2,0.0531,0.2
eus_Latn,0.27,0.0893,0.27
wol_Latn,0.1,0.0583,0.1
jpn_Jpan,0.85,0.4262,0.85
ceb_Latn,0.5,0.1807,0.5
tur_Latn,0.69,0.2686,0.69
deu_Latn,0.99,0.5252,0.99
urd_Arab,0.47,0.1234,0.47
oci_Latn,0.94,0.3969,0.94
shn_Mymr,0.02,0.0034,0.02
kaz_Cyrl,0.4,0.1062,0.4
kat_Geor,0.15,0.0421,0.15
tam_Taml,0.21,0.0586,0.21
tha_Thai,0.87,0.309,0.87
hat_Latn,0.28,0.1234,0.28
ell_Grek,0.62,0.1593,0.62
bod_Tibt,0.01,0.001,0.01
hau_Latn,0.12,0.0528,0.12
spa_Latn,0.99,0.5783,0.99
som_Latn,0.07,0.0286,0.07
mri_Latn,0.11,0.04,0.11
ckb_Arab,0.06,0.0203,0.06
dan_Latn,0.97,0.4476,0.97
ssw_Latn,0.11,0.0266,0.11
sun_Latn,0.54,0.2072,0.54
ars_Arab,0.95,0.4297,0.95
jav_Latn,0.57,0.2117,0.57
zho_Hans,1.0,0.8038,1.0
swe_Latn,0.96,0.4634,0.96
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.66,0.2317,0.66
nld_Latn,0.98,0.469,0.98
lin_Latn,0.12,0.06,0.12
fra_Latn,0.98,0.5286,0.98
por_Latn,0.99,0.5952,0.99
mar_Deva,0.37,0.0962,0.37
vie_Latn,0.99,0.541,0.99
