code,cis-lmu/glot500-base_max,cis-lmu/glot500-base_mean,avg
ces_Latn,0.81,0.5723,0.81
ron_Latn,0.83,0.5623,0.83
ita_Latn,0.92,0.6492,0.92
war_Latn,0.54,0.3754,0.54
lit_Latn,0.72,0.4569,0.72
sot_Latn,0.25,0.1692,0.25
tel_Telu,0.42,0.2638,0.42
pes_Arab,0.9,0.6331,0.9
hin_Deva,0.8,0.4638,0.8
kir_Cyrl,0.67,0.3915,0.67
apc_Arab,0.73,0.4762,0.73
pbt_Arab,0.42,0.2438,0.42
pan_Guru,0.27,0.1246,0.27
khk_Cyrl,0.53,0.3062,0.53
amh_Ethi,0.42,0.2131,0.42
tir_Ethi,0.07,0.0346,0.07
ast_Latn,0.88,0.6254,0.88
ilo_Latn,0.48,0.3177,0.48
acm_Arab,0.71,0.4554,0.71
kea_Latn,0.47,0.3038,0.47
pol_Latn,0.77,0.5146,0.77
uzn_Latn,0.59,0.3269,0.59
ind_Latn,0.98,0.8008,0.98
hye_Armn,0.68,0.4138,0.68
khm_Khmr,0.26,0.14,0.26
bul_Cyrl,0.85,0.5885,0.85
mal_Mlym,0.34,0.2015,0.34
fuv_Latn,0.17,0.1192,0.17
plt_Latn,0.34,0.1977,0.34
lvs_Latn,0.73,0.4508,0.73
sna_Latn,0.28,0.1862,0.28
nob_Latn,0.95,0.7823,0.95
hun_Latn,0.72,0.4746,0.72
ibo_Latn,0.31,0.1969,0.31
kor_Hang,0.68,0.4069,0.68
kan_Knda,0.39,0.2231,0.39
arb_Arab,0.75,0.4738,0.75
isl_Latn,0.64,0.3931,0.64
fin_Latn,0.66,0.4423,0.66
slk_Latn,0.85,0.5931,0.85
lug_Latn,0.26,0.2054,0.26
ukr_Cyrl,0.88,0.5531,0.88
asm_Beng,0.38,0.19,0.38
arb_Latn,0.04,0.0169,0.04
nya_Latn,0.44,0.2931,0.44
tgk_Cyrl,0.55,0.2992,0.55
kin_Latn,0.41,0.2392,0.41
rus_Cyrl,0.85,0.5969,0.85
zho_Hant,0.88,0.5615,0.88
est_Latn,0.81,0.5462,0.81
grn_Latn,0.24,0.1631,0.24
zsm_Latn,0.98,0.79,0.98
als_Latn,0.77,0.4738,0.77
lao_Laoo,0.48,0.3238,0.48
gaz_Latn,0.13,0.0838,0.13
arz_Arab,0.69,0.4538,0.69
afr_Latn,0.87,0.6169,0.87
ceb_Latn,0.62,0.4477,0.62
tur_Latn,0.85,0.5877,0.85
deu_Latn,0.89,0.6808,0.89
wol_Latn,0.15,0.1108,0.15
jpn_Jpan,0.65,0.3677,0.65
guj_Gujr,0.61,0.3538,0.61
eus_Latn,0.57,0.3262,0.57
mya_Mymr,0.13,0.0515,0.13
slv_Latn,0.83,0.5538,0.83
cat_Latn,0.83,0.5615,0.83
bam_Latn,0.16,0.1062,0.16
yor_Latn,0.14,0.0808,0.14
zul_Latn,0.42,0.2346,0.42
hrv_Latn,0.97,0.7208,0.97
tso_Latn,0.25,0.1585,0.25
heb_Hebr,0.76,0.4669,0.76
mlt_Latn,0.52,0.3246,0.52
ben_Beng,0.42,0.2546,0.42
swh_Latn,0.82,0.5569,0.82
glg_Latn,0.95,0.7192,0.95
xho_Latn,0.35,0.2377,0.35
tsn_Latn,0.15,0.1108,0.15
sin_Sinh,0.4,0.22,0.4
jav_Latn,0.72,0.4923,0.72
zho_Hans,0.86,0.5931,0.86
ssw_Latn,0.32,0.1969,0.32
sun_Latn,0.8,0.5577,0.8
ars_Arab,0.72,0.4685,0.72
mri_Latn,0.21,0.1354,0.21
dan_Latn,0.95,0.7554,0.95
ckb_Arab,0.63,0.3454,0.63
spa_Latn,0.9,0.6715,0.9
som_Latn,0.3,0.1669,0.3
por_Latn,0.96,0.7677,0.96
mar_Deva,0.6,0.37,0.6
vie_Latn,0.86,0.56,0.86
lin_Latn,0.4,0.2485,0.4
fra_Latn,0.8,0.5562,0.8
swe_Latn,0.98,0.7615,0.98
tgl_Latn,0.79,0.5392,0.79
eng_Latn,1.0,1.0,1.0
nld_Latn,0.93,0.7292,0.93
kaz_Cyrl,0.72,0.4546,0.72
shn_Mymr,0.02,0.0031,0.02
urd_Arab,0.66,0.4015,0.66
oci_Latn,0.68,0.4354,0.68
ell_Grek,0.6,0.3054,0.6
hau_Latn,0.42,0.2677,0.42
bod_Tibt,0.08,0.0238,0.08
tha_Thai,0.64,0.4015,0.64
tam_Taml,0.48,0.2485,0.48
hat_Latn,0.78,0.4908,0.78
kat_Geor,0.5,0.2838,0.5
