code,mistralai/Mixtral-8x7B-v0.1_max,mistralai/Mixtral-8x7B-v0.1_mean,avg
acm_Arab,0.0,0.0,0.0
afr_Latn,0.29,0.0194,0.29
als_Latn,0.07,0.0039,0.07
amh_Ethi,0.0,0.0,0.0
apc_Arab,0.01,0.0003,0.01
arb_Arab,0.01,0.0006,0.01
arb_Latn,0.08,0.0039,0.08
ars_Arab,0.01,0.0006,0.01
arz_Arab,0.0,0.0,0.0
asm_Beng,0.0,0.0,0.0
ast_Latn,0.38,0.0397,0.38
bam_Latn,0.12,0.0076,0.12
ben_Beng,0.0,0.0,0.0
bod_Tibt,0.01,0.0003,0.01
bul_Cyrl,0.06,0.0036,0.06
cat_Latn,0.35,0.027,0.35
ceb_Latn,0.24,0.0127,0.24
ces_Latn,0.16,0.0103,0.16
ckb_Arab,0.01,0.0003,0.01
dan_Latn,0.27,0.0273,0.27
deu_Latn,0.67,0.0552,0.67
ell_Grek,0.01,0.0003,0.01
eng_Latn,1.0,0.2121,1.0
est_Latn,0.13,0.0094,0.13
eus_Latn,0.1,0.0061,0.1
fin_Latn,0.08,0.0042,0.08
fra_Latn,0.69,0.0606,0.69
fuv_Latn,0.19,0.0191,0.19
gaz_Latn,0.04,0.0024,0.04
glg_Latn,0.43,0.0358,0.43
grn_Latn,0.14,0.007,0.14
guj_Gujr,0.0,0.0,0.0
hat_Latn,0.2,0.0145,0.2
hau_Latn,0.15,0.0097,0.15
heb_Hebr,0.01,0.0006,0.01
hin_Deva,0.0,0.0,0.0
hrv_Latn,0.18,0.0121,0.18
hun_Latn,0.09,0.0055,0.09
hye_Armn,0.0,0.0,0.0
ibo_Latn,0.1,0.0055,0.1
ilo_Latn,0.19,0.0118,0.19
ind_Latn,0.24,0.0142,0.24
isl_Latn,0.08,0.0045,0.08
ita_Latn,0.6,0.0512,0.6
jav_Latn,0.22,0.0167,0.22
jpn_Jpan,0.02,0.0009,0.02
kan_Knda,0.0,0.0,0.0
kat_Geor,0.01,0.0003,0.01
kaz_Cyrl,0.02,0.0009,0.02
kea_Latn,0.22,0.0197,0.22
khk_Cyrl,0.01,0.0006,0.01
khm_Khmr,0.02,0.0006,0.02
kin_Latn,0.14,0.0082,0.14
kir_Cyrl,0.01,0.0006,0.01
kor_Hang,0.01,0.0009,0.01
lao_Laoo,0.01,0.0003,0.01
lin_Latn,0.15,0.0094,0.15
lit_Latn,0.11,0.0079,0.11
lug_Latn,0.18,0.01,0.18
lvs_Latn,0.04,0.0024,0.04
mal_Mlym,0.0,0.0,0.0
mar_Deva,0.01,0.0003,0.01
mlt_Latn,0.14,0.0073,0.14
mri_Latn,0.15,0.0073,0.15
mya_Mymr,0.01,0.0003,0.01
nld_Latn,0.42,0.0345,0.42
nob_Latn,0.22,0.0239,0.22
nya_Latn,0.15,0.0094,0.15
oci_Latn,0.34,0.0233,0.34
pan_Guru,0.01,0.0003,0.01
pbt_Arab,0.02,0.0009,0.02
pes_Arab,0.0,0.0,0.0
plt_Latn,0.15,0.0076,0.15
pol_Latn,0.16,0.01,0.16
por_Latn,0.5,0.0439,0.5
ron_Latn,0.26,0.017,0.26
rus_Cyrl,0.09,0.0082,0.09
shn_Mymr,0.02,0.0006,0.02
sin_Sinh,0.01,0.0003,0.01
slk_Latn,0.12,0.0079,0.12
slv_Latn,0.14,0.0091,0.14
sna_Latn,0.11,0.0058,0.11
som_Latn,0.14,0.007,0.14
sot_Latn,0.17,0.0103,0.17
spa_Latn,0.39,0.0358,0.39
ssw_Latn,0.15,0.0076,0.15
sun_Latn,0.22,0.0167,0.22
swe_Latn,0.33,0.0333,0.33
swh_Latn,0.12,0.0067,0.12
tam_Taml,0.0,0.0,0.0
tel_Telu,0.0,0.0,0.0
tgk_Cyrl,0.03,0.0015,0.03
tgl_Latn,0.23,0.0133,0.23
tha_Thai,0.02,0.0012,0.02
tir_Ethi,0.0,0.0,0.0
tsn_Latn,0.19,0.01,0.19
tso_Latn,0.13,0.0073,0.13
tur_Latn,0.07,0.0042,0.07
ukr_Cyrl,0.06,0.0048,0.06
urd_Arab,0.01,0.0006,0.01
uzn_Latn,0.04,0.0024,0.04
vie_Latn,0.06,0.0033,0.06
war_Latn,0.37,0.0212,0.37
wol_Latn,0.16,0.0097,0.16
xho_Latn,0.13,0.0073,0.13
yor_Latn,0.08,0.0042,0.08
zho_Hans,0.05,0.0048,0.05
zho_Hant,0.03,0.003,0.03
zsm_Latn,0.19,0.0112,0.19
zul_Latn,0.09,0.0055,0.09
