code,sentence-transformers/LaBSE_max,sentence-transformers/LaBSE_mean,avg
tgk_Cyrl,0.98,0.7262,0.98
kin_Latn,0.99,0.7754,0.99
rus_Cyrl,1.0,0.8815,1.0
zho_Hant,0.99,0.7777,0.99
zsm_Latn,1.0,0.9577,1.0
grn_Latn,0.74,0.2092,0.74
est_Latn,1.0,0.8823,1.0
als_Latn,1.0,0.8446,1.0
lao_Laoo,0.98,0.5731,0.98
asm_Beng,0.99,0.5346,0.99
arb_Latn,0.37,0.1054,0.37
nya_Latn,1.0,0.7531,1.0
arb_Arab,1.0,0.8562,1.0
isl_Latn,1.0,0.8469,1.0
fin_Latn,1.0,0.85,1.0
slk_Latn,1.0,0.8969,1.0
ukr_Cyrl,1.0,0.8431,1.0
lug_Latn,0.76,0.3562,0.76
bul_Cyrl,1.0,0.8792,1.0
plt_Latn,1.0,0.6992,1.0
mal_Mlym,1.0,0.68,1.0
fuv_Latn,0.65,0.2231,0.65
lvs_Latn,1.0,0.8577,1.0
hun_Latn,1.0,0.8354,1.0
nob_Latn,1.0,0.9415,1.0
sna_Latn,0.99,0.6808,0.99
ibo_Latn,1.0,0.7054,1.0
kan_Knda,1.0,0.7546,1.0
kor_Hang,0.99,0.8277,0.99
pol_Latn,1.0,0.8492,1.0
uzn_Latn,1.0,0.7546,1.0
ind_Latn,1.0,0.9608,1.0
khm_Khmr,0.97,0.5677,0.97
hye_Armn,1.0,0.7523,1.0
tir_Ethi,0.55,0.1054,0.55
khk_Cyrl,1.0,0.8408,1.0
amh_Ethi,1.0,0.74,1.0
ast_Latn,1.0,0.8169,1.0
ilo_Latn,0.92,0.4146,0.92
acm_Arab,1.0,0.83,1.0
kea_Latn,0.94,0.6223,0.94
lit_Latn,1.0,0.8669,1.0
sot_Latn,1.0,0.64,1.0
war_Latn,1.0,0.7608,1.0
tel_Telu,1.0,0.8154,1.0
pes_Arab,1.0,0.9038,1.0
hin_Deva,1.0,0.8346,1.0
apc_Arab,1.0,0.8192,1.0
kir_Cyrl,1.0,0.8046,1.0
pan_Guru,1.0,0.7262,1.0
pbt_Arab,1.0,0.6908,1.0
ces_Latn,1.0,0.91,1.0
ita_Latn,1.0,0.8931,1.0
ron_Latn,1.0,0.8708,1.0
bod_Tibt,0.93,0.2231,0.93
hau_Latn,1.0,0.8008,1.0
ell_Grek,1.0,0.7362,1.0
tam_Taml,0.99,0.8,0.99
tha_Thai,0.94,0.5608,0.94
hat_Latn,0.99,0.8792,0.99
kat_Geor,0.99,0.7223,0.99
kaz_Cyrl,1.0,0.8638,1.0
shn_Mymr,0.56,0.0769,0.56
urd_Arab,1.0,0.8015,1.0
oci_Latn,1.0,0.7638,1.0
por_Latn,1.0,0.9677,1.0
vie_Latn,1.0,0.8823,1.0
mar_Deva,1.0,0.7985,1.0
lin_Latn,0.79,0.2762,0.79
fra_Latn,1.0,0.8838,1.0
eng_Latn,1.0,1.0,1.0
tgl_Latn,1.0,0.8408,1.0
swe_Latn,1.0,0.9538,1.0
nld_Latn,1.0,0.9392,1.0
zho_Hans,1.0,0.7669,1.0
jav_Latn,1.0,0.8992,1.0
sun_Latn,1.0,0.9069,1.0
ssw_Latn,0.95,0.53,0.95
ars_Arab,1.0,0.85,1.0
mri_Latn,0.99,0.6592,0.99
ckb_Arab,0.31,0.0546,0.31
dan_Latn,1.0,0.9292,1.0
spa_Latn,1.0,0.9146,1.0
som_Latn,0.99,0.7377,0.99
heb_Hebr,1.0,0.8669,1.0
mlt_Latn,1.0,0.8292,1.0
tso_Latn,0.7,0.2238,0.7
ben_Beng,1.0,0.8146,1.0
glg_Latn,1.0,0.95,1.0
swh_Latn,1.0,0.9,1.0
tsn_Latn,0.94,0.4823,0.94
xho_Latn,1.0,0.7585,1.0
sin_Sinh,1.0,0.7454,1.0
slv_Latn,1.0,0.8946,1.0
cat_Latn,1.0,0.8869,1.0
yor_Latn,0.95,0.44,0.95
bam_Latn,0.63,0.1331,0.63
zul_Latn,1.0,0.7462,1.0
hrv_Latn,1.0,0.9208,1.0
tur_Latn,1.0,0.8862,1.0
deu_Latn,1.0,0.9138,1.0
ceb_Latn,1.0,0.8131,1.0
wol_Latn,0.78,0.2531,0.78
jpn_Jpan,1.0,0.7246,1.0
eus_Latn,1.0,0.8577,1.0
guj_Gujr,1.0,0.7985,1.0
mya_Mymr,1.0,0.5892,1.0
gaz_Latn,0.42,0.0946,0.42
arz_Arab,1.0,0.8008,1.0
afr_Latn,1.0,0.9177,1.0
