code,jhu-clsp/mmBERT-base_max,jhu-clsp/mmBERT-base_mean,avg
afr_Latn,0.96,0.46,0.96
gaz_Latn,0.07,0.0378,0.07
arz_Arab,0.79,0.3139,0.79
jpn_Jpan,0.87,0.4004,0.87
wol_Latn,0.2,0.0991,0.2
deu_Latn,0.97,0.6139,0.97
tur_Latn,0.75,0.357,0.75
ceb_Latn,0.68,0.2609,0.68
mya_Mymr,0.05,0.0078,0.05
eus_Latn,0.44,0.1283,0.44
guj_Gujr,0.22,0.0465,0.22
slv_Latn,0.92,0.3126,0.92
hrv_Latn,0.92,0.3204,0.92
zul_Latn,0.15,0.0726,0.15
yor_Latn,0.06,0.037,0.06
bam_Latn,0.08,0.0526,0.08
cat_Latn,0.94,0.4043,0.94
ben_Beng,0.37,0.0783,0.37
mlt_Latn,0.52,0.1791,0.52
heb_Hebr,0.75,0.2235,0.75
tso_Latn,0.15,0.0761,0.15
sin_Sinh,0.09,0.0143,0.09
tsn_Latn,0.14,0.0739,0.14
xho_Latn,0.18,0.0839,0.18
glg_Latn,0.97,0.5861,0.97
swh_Latn,0.64,0.2083,0.64
ars_Arab,0.82,0.3265,0.82
sun_Latn,0.37,0.2513,0.37
ssw_Latn,0.14,0.0787,0.14
zho_Hans,0.96,0.57,0.96
jav_Latn,0.63,0.3326,0.63
som_Latn,0.27,0.0896,0.27
spa_Latn,0.97,0.6404,0.97
ckb_Arab,0.13,0.0287,0.13
dan_Latn,0.94,0.5457,0.94
mri_Latn,0.32,0.1083,0.32
fra_Latn,0.96,0.6,0.96
lin_Latn,0.17,0.0996,0.17
vie_Latn,0.94,0.5057,0.94
mar_Deva,0.32,0.087,0.32
por_Latn,1.0,0.707,1.0
nld_Latn,0.98,0.5965,0.98
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.77,0.2713,0.77
swe_Latn,0.94,0.5987,0.94
shn_Mymr,0.03,0.0091,0.03
kaz_Cyrl,0.27,0.0674,0.27
oci_Latn,0.8,0.3422,0.8
urd_Arab,0.47,0.1239,0.47
bod_Tibt,0.04,0.0096,0.04
hau_Latn,0.18,0.103,0.18
ell_Grek,0.7,0.1813,0.7
kat_Geor,0.16,0.027,0.16
hat_Latn,0.7,0.2804,0.7
tam_Taml,0.33,0.0696,0.33
tha_Thai,0.58,0.1809,0.58
ces_Latn,0.96,0.4196,0.96
ita_Latn,0.98,0.5578,0.98
ron_Latn,0.96,0.3978,0.96
apc_Arab,0.74,0.327,0.74
kir_Cyrl,0.12,0.0439,0.12
pes_Arab,0.83,0.4457,0.83
hin_Deva,0.73,0.2165,0.73
tel_Telu,0.16,0.0374,0.16
sot_Latn,0.17,0.0865,0.17
lit_Latn,0.77,0.2322,0.77
war_Latn,0.54,0.25,0.54
pan_Guru,0.14,0.0352,0.14
pbt_Arab,0.37,0.0987,0.37
tir_Ethi,0.04,0.0143,0.04
amh_Ethi,0.09,0.0226,0.09
khk_Cyrl,0.15,0.0348,0.15
kea_Latn,0.44,0.2352,0.44
acm_Arab,0.8,0.3096,0.8
ilo_Latn,0.3,0.1487,0.3
ast_Latn,0.79,0.4204,0.79
ind_Latn,0.97,0.7043,0.97
uzn_Latn,0.3,0.0709,0.3
pol_Latn,0.91,0.3817,0.91
khm_Khmr,0.09,0.0204,0.09
hye_Armn,0.19,0.0409,0.19
lvs_Latn,0.77,0.187,0.77
plt_Latn,0.36,0.1257,0.36
mal_Mlym,0.21,0.0387,0.21
fuv_Latn,0.17,0.0991,0.17
bul_Cyrl,0.9,0.3343,0.9
kan_Knda,0.11,0.0374,0.11
kor_Hang,0.71,0.2435,0.71
ibo_Latn,0.15,0.0696,0.15
hun_Latn,0.69,0.2526,0.69
nob_Latn,0.96,0.513,0.96
sna_Latn,0.17,0.0804,0.17
arb_Arab,0.82,0.3496,0.82
ukr_Cyrl,0.88,0.3217,0.88
lug_Latn,0.18,0.1152,0.18
slk_Latn,0.91,0.3796,0.91
fin_Latn,0.72,0.2304,0.72
isl_Latn,0.48,0.1561,0.48
asm_Beng,0.1,0.0209,0.1
nya_Latn,0.16,0.0983,0.16
arb_Latn,0.11,0.0422,0.11
zho_Hant,0.9,0.5109,0.9
rus_Cyrl,0.94,0.4783,0.94
kin_Latn,0.13,0.0735,0.13
tgk_Cyrl,0.2,0.0635,0.2
lao_Laoo,0.08,0.0243,0.08
als_Latn,0.59,0.1717,0.59
zsm_Latn,0.98,0.6843,0.98
grn_Latn,0.16,0.0822,0.16
est_Latn,0.67,0.2287,0.67
