code,swiss-ai/Apertus-v1.5-8B_max,swiss-ai/Apertus-v1.5-8B_mean,avg
afr_Latn,0.76,0.367,0.76
amh_Ethi,0.04,0.0055,0.04
arb_Arab,0.33,0.1264,0.33
arz_Arab,0.42,0.1533,0.42
asm_Beng,0.07,0.0212,0.07
bam_Latn,0.03,0.0109,0.03
ben_Beng,0.08,0.0279,0.08
bul_Cyrl,0.83,0.4755,0.83
cat_Latn,0.74,0.3945,0.74
ceb_Latn,0.32,0.0867,0.32
ces_Latn,0.83,0.4573,0.83
ckb_Arab,0.04,0.0076,0.04
dan_Latn,0.87,0.5136,0.87
deu_Latn,0.65,0.3115,0.65
ell_Grek,0.81,0.3348,0.81
eng_Latn,1.0,1.0,1.0
est_Latn,0.63,0.2827,0.63
eus_Latn,0.06,0.0206,0.06
fin_Latn,0.72,0.3448,0.72
fra_Latn,0.9,0.6024,0.9
fuv_Latn,0.02,0.0064,0.02
guj_Gujr,0.33,0.1188,0.33
hat_Latn,0.18,0.0448,0.18
hau_Latn,0.04,0.0103,0.04
heb_Hebr,0.55,0.2539,0.55
hin_Deva,0.16,0.0591,0.16
hrv_Latn,0.76,0.3724,0.76
hun_Latn,0.76,0.3782,0.76
hye_Armn,0.46,0.1985,0.46
ibo_Latn,0.16,0.0382,0.16
ilo_Latn,0.08,0.0185,0.08
ind_Latn,0.77,0.4061,0.77
isl_Latn,0.54,0.2212,0.54
ita_Latn,0.88,0.5976,0.88
jav_Latn,0.05,0.0221,0.05
kan_Knda,0.35,0.1179,0.35
kat_Geor,0.52,0.2045,0.52
kaz_Cyrl,0.32,0.0818,0.32
khm_Khmr,0.04,0.0045,0.04
kin_Latn,0.12,0.0355,0.12
kir_Cyrl,0.25,0.0639,0.25
kor_Hang,0.71,0.36,0.71
lin_Latn,0.05,0.0155,0.05
lit_Latn,0.65,0.3182,0.65
lug_Latn,0.06,0.0145,0.06
mal_Mlym,0.29,0.103,0.29
mar_Deva,0.39,0.1133,0.39
mlt_Latn,0.29,0.1012,0.29
mri_Latn,0.06,0.0118,0.06
mya_Mymr,0.02,0.0039,0.02
nld_Latn,0.92,0.5639,0.92
nob_Latn,0.88,0.5861,0.88
nya_Latn,0.07,0.0239,0.07
pan_Guru,0.23,0.0721,0.23
pes_Arab,0.44,0.2155,0.44
plt_Latn,0.08,0.0233,0.08
pol_Latn,0.84,0.4224,0.84
por_Latn,0.83,0.5321,0.83
ron_Latn,0.88,0.3985,0.88
rus_Cyrl,0.93,0.6133,0.93
shn_Mymr,0.0,0.0,0.0
sin_Sinh,0.03,0.0052,0.03
slk_Latn,0.83,0.4582,0.83
slv_Latn,0.78,0.3718,0.78
sna_Latn,0.05,0.0176,0.05
som_Latn,0.07,0.0182,0.07
sot_Latn,0.07,0.0288,0.07
spa_Latn,0.77,0.4645,0.77
ssw_Latn,0.05,0.0136,0.05
sun_Latn,0.09,0.0273,0.09
swe_Latn,0.85,0.4845,0.85
swh_Latn,0.41,0.1406,0.41
tam_Taml,0.39,0.1406,0.39
tel_Telu,0.35,0.1139,0.35
tgk_Cyrl,0.18,0.0561,0.18
tgl_Latn,0.34,0.093,0.34
tha_Thai,0.42,0.1224,0.42
tir_Ethi,0.02,0.0015,0.02
tsn_Latn,0.06,0.0164,0.06
tso_Latn,0.04,0.0155,0.04
tur_Latn,0.59,0.27,0.59
ukr_Cyrl,0.8,0.4418,0.8
urd_Arab,0.46,0.1482,0.46
vie_Latn,0.71,0.3564,0.71
war_Latn,0.12,0.0324,0.12
wol_Latn,0.04,0.0094,0.04
xho_Latn,0.06,0.0161,0.06
yor_Latn,0.04,0.0124,0.04
zsm_Latn,0.2,0.0494,0.2
zul_Latn,0.06,0.0215,0.06
