code,mistralai/Mixtral-8x7B-v0.1_max,mistralai/Mixtral-8x7B-v0.1_mean,avg
acm_Arab,0.002,0.0001,0.002
afr_Latn,0.1255,0.0083,0.1255
als_Latn,0.0168,0.0008,0.0168
amh_Ethi,0.0,0.0,0.0
apc_Arab,0.003,0.0001,0.003
arb_Arab,0.002,0.0001,0.002
arb_Latn,0.0227,0.0011,0.0227
ars_Arab,0.002,0.0001,0.002
arz_Arab,0.0,0.0,0.0
asm_Beng,0.001,0.0,0.001
ast_Latn,0.1383,0.0131,0.1383
bam_Latn,0.0306,0.0021,0.0306
ben_Beng,0.002,0.0001,0.002
bod_Tibt,0.0,0.0,0.0
bul_Cyrl,0.0099,0.0006,0.0099
cat_Latn,0.1512,0.0126,0.1512
ceb_Latn,0.084,0.0049,0.084
ces_Latn,0.0435,0.0028,0.0435
ckb_Arab,0.001,0.0,0.001
dan_Latn,0.1275,0.0088,0.1275
deu_Latn,0.2401,0.0215,0.2401
ell_Grek,0.001,0.0,0.001
eng_Latn,1.0,0.1818,1.0
est_Latn,0.0326,0.0025,0.0326
eus_Latn,0.0306,0.0019,0.0306
fin_Latn,0.0237,0.0012,0.0237
fra_Latn,0.3034,0.0278,0.3034
fuv_Latn,0.0761,0.0043,0.0761
gaz_Latn,0.0099,0.0006,0.0099
glg_Latn,0.1907,0.0161,0.1907
grn_Latn,0.0474,0.0025,0.0474
guj_Gujr,0.0,0.0,0.0
hat_Latn,0.0623,0.0043,0.0623
hau_Latn,0.0504,0.0028,0.0504
heb_Hebr,0.001,0.0001,0.001
hin_Deva,0.001,0.0,0.001
hrv_Latn,0.0455,0.0031,0.0455
hun_Latn,0.0296,0.0019,0.0296
hye_Armn,0.0,0.0,0.0
ibo_Latn,0.0395,0.0016,0.0395
ilo_Latn,0.0958,0.005,0.0958
ind_Latn,0.0603,0.0036,0.0603
isl_Latn,0.0366,0.002,0.0366
ita_Latn,0.1907,0.0172,0.1907
jav_Latn,0.0593,0.0036,0.0593
jpn_Jpan,0.003,0.0001,0.003
kan_Knda,0.0,0.0,0.0
kat_Geor,0.0,0.0,0.0
kaz_Cyrl,0.003,0.0001,0.003
kea_Latn,0.0791,0.0064,0.0791
khk_Cyrl,0.001,0.0001,0.001
khm_Khmr,0.003,0.0001,0.003
kin_Latn,0.0395,0.0018,0.0395
kir_Cyrl,0.0049,0.0002,0.0049
kor_Hang,0.0069,0.0004,0.0069
lao_Laoo,0.002,0.0001,0.002
lin_Latn,0.0642,0.0036,0.0642
lit_Latn,0.0198,0.0014,0.0198
lug_Latn,0.0613,0.0028,0.0613
lvs_Latn,0.0109,0.0005,0.0109
mal_Mlym,0.0,0.0,0.0
mar_Deva,0.0,0.0,0.0
mlt_Latn,0.0494,0.0025,0.0494
mri_Latn,0.0445,0.0021,0.0445
mya_Mymr,0.001,0.0,0.001
nld_Latn,0.1265,0.0102,0.1265
nob_Latn,0.1166,0.0085,0.1166
nya_Latn,0.0613,0.003,0.0613
oci_Latn,0.1383,0.0106,0.1383
pan_Guru,0.0,0.0,0.0
pbt_Arab,0.002,0.0001,0.002
pes_Arab,0.001,0.0001,0.001
plt_Latn,0.0405,0.0018,0.0405
pol_Latn,0.0425,0.0032,0.0425
por_Latn,0.1462,0.0154,0.1462
ron_Latn,0.1067,0.0057,0.1067
rus_Cyrl,0.0306,0.0022,0.0306
shn_Mymr,0.001,0.0,0.001
sin_Sinh,0.0,0.0,0.0
slk_Latn,0.0346,0.0024,0.0346
slv_Latn,0.0356,0.003,0.0356
sna_Latn,0.0385,0.0019,0.0385
som_Latn,0.0366,0.0016,0.0366
sot_Latn,0.0682,0.0034,0.0682
spa_Latn,0.246,0.0219,0.246
ssw_Latn,0.0366,0.002,0.0366
sun_Latn,0.0583,0.0039,0.0583
swe_Latn,0.1235,0.009,0.1235
swh_Latn,0.0326,0.0018,0.0326
tam_Taml,0.001,0.0,0.001
tel_Telu,0.002,0.0001,0.002
tgk_Cyrl,0.0079,0.0003,0.0079
tgl_Latn,0.0721,0.0039,0.0721
tha_Thai,0.0049,0.0001,0.0049
tir_Ethi,0.0,0.0,0.0
tsn_Latn,0.0573,0.0028,0.0573
tso_Latn,0.0455,0.0024,0.0455
tur_Latn,0.0138,0.0007,0.0138
ukr_Cyrl,0.0079,0.0006,0.0079
urd_Arab,0.0,0.0,0.0
uzn_Latn,0.0119,0.0007,0.0119
vie_Latn,0.0217,0.001,0.0217
war_Latn,0.1265,0.0064,0.1265
wol_Latn,0.0672,0.004,0.0672
xho_Latn,0.0484,0.0022,0.0484
yor_Latn,0.0287,0.0013,0.0287
zho_Hans,0.0188,0.0018,0.0188
zho_Hant,0.0069,0.0005,0.0069
zsm_Latn,0.0623,0.0039,0.0623
zul_Latn,0.0336,0.0014,0.0336
