code,swiss-ai/Apertus-8B-2509_max,swiss-ai/Apertus-8B-2509_mean,avg
swh_Latn,0.34,0.1085,0.34
glg_Latn,0.78,0.4309,0.78
sin_Sinh,0.06,0.0155,0.06
xho_Latn,0.18,0.0582,0.18
tsn_Latn,0.2,0.0548,0.2
ben_Beng,0.3,0.1097,0.3
tso_Latn,0.19,0.0442,0.19
mlt_Latn,0.4,0.0924,0.4
heb_Hebr,0.54,0.1812,0.54
bam_Latn,0.07,0.0227,0.07
yor_Latn,0.08,0.0433,0.08
cat_Latn,0.73,0.2985,0.73
hrv_Latn,0.65,0.2491,0.65
zul_Latn,0.14,0.0515,0.14
slv_Latn,0.51,0.2021,0.51
guj_Gujr,0.21,0.0736,0.21
eus_Latn,0.3,0.1115,0.3
mya_Mymr,0.07,0.0252,0.07
ceb_Latn,0.34,0.1115,0.34
deu_Latn,0.62,0.3621,0.62
tur_Latn,0.41,0.1755,0.41
jpn_Jpan,0.41,0.183,0.41
wol_Latn,0.18,0.0561,0.18
arz_Arab,0.59,0.2618,0.59
gaz_Latn,0.07,0.0212,0.07
afr_Latn,0.74,0.2067,0.74
hat_Latn,0.67,0.1755,0.67
tha_Thai,0.22,0.0803,0.22
tam_Taml,0.24,0.0994,0.24
kat_Geor,0.24,0.0948,0.24
ell_Grek,0.48,0.1506,0.48
hau_Latn,0.19,0.0597,0.19
bod_Tibt,0.02,0.0039,0.02
oci_Latn,0.74,0.2479,0.74
urd_Arab,0.32,0.1027,0.32
kaz_Cyrl,0.19,0.0785,0.19
shn_Mymr,0.02,0.0039,0.02
nld_Latn,0.71,0.3167,0.71
swe_Latn,0.73,0.3312,0.73
tgl_Latn,0.35,0.1412,0.35
eng_Latn,1.0,1.0,1.0
mar_Deva,0.26,0.0733,0.26
vie_Latn,0.64,0.2876,0.64
por_Latn,0.86,0.5118,0.86
fra_Latn,0.83,0.4979,0.83
lin_Latn,0.2,0.0694,0.2
dan_Latn,0.58,0.2476,0.58
ckb_Arab,0.08,0.0252,0.08
mri_Latn,0.17,0.0497,0.17
som_Latn,0.19,0.0555,0.19
spa_Latn,0.72,0.4133,0.72
jav_Latn,0.44,0.1591,0.44
zho_Hans,0.63,0.2815,0.63
ars_Arab,0.72,0.3915,0.72
ssw_Latn,0.17,0.0491,0.17
sun_Latn,0.46,0.1839,0.46
hye_Armn,0.43,0.1742,0.43
khm_Khmr,0.09,0.0224,0.09
pol_Latn,0.52,0.207,0.52
ind_Latn,0.81,0.4385,0.81
uzn_Latn,0.21,0.0745,0.21
ilo_Latn,0.25,0.093,0.25
acm_Arab,0.67,0.3203,0.67
ast_Latn,0.78,0.333,0.78
kea_Latn,0.59,0.1997,0.59
amh_Ethi,0.05,0.007,0.05
khk_Cyrl,0.12,0.0491,0.12
tir_Ethi,0.03,0.0061,0.03
pbt_Arab,0.2,0.0533,0.2
pan_Guru,0.2,0.0748,0.2
tel_Telu,0.24,0.1021,0.24
war_Latn,0.4,0.1385,0.4
sot_Latn,0.22,0.0464,0.22
lit_Latn,0.44,0.1452,0.44
kir_Cyrl,0.12,0.0445,0.12
apc_Arab,0.66,0.347,0.66
hin_Deva,0.39,0.1555,0.39
pes_Arab,0.57,0.2527,0.57
ron_Latn,0.65,0.2436,0.65
ita_Latn,0.75,0.37,0.75
ces_Latn,0.62,0.2497,0.62
est_Latn,0.41,0.1609,0.41
grn_Latn,0.14,0.0424,0.14
zsm_Latn,0.77,0.3782,0.77
lao_Laoo,0.05,0.017,0.05
als_Latn,0.53,0.1567,0.53
kin_Latn,0.19,0.0424,0.19
tgk_Cyrl,0.19,0.0542,0.19
zho_Hant,0.59,0.2506,0.59
rus_Cyrl,0.67,0.2942,0.67
arb_Latn,0.1,0.0524,0.1
nya_Latn,0.18,0.0385,0.18
asm_Beng,0.11,0.03,0.11
fin_Latn,0.39,0.1655,0.39
isl_Latn,0.37,0.1318,0.37
lug_Latn,0.25,0.0573,0.25
ukr_Cyrl,0.53,0.1864,0.53
slk_Latn,0.52,0.1918,0.52
arb_Arab,0.7,0.3915,0.7
sna_Latn,0.18,0.0555,0.18
nob_Latn,0.7,0.3339,0.7
hun_Latn,0.47,0.2112,0.47
kor_Hang,0.48,0.2442,0.48
kan_Knda,0.24,0.0958,0.24
ibo_Latn,0.11,0.0379,0.11
fuv_Latn,0.2,0.07,0.2
mal_Mlym,0.24,0.1018,0.24
plt_Latn,0.18,0.0473,0.18
bul_Cyrl,0.54,0.1824,0.54
lvs_Latn,0.38,0.1036,0.38
