code,Qwen/Qwen3-Embedding-8B_max,Qwen/Qwen3-Embedding-8B_mean,avg
bam_Latn,0.253,0.0959,0.253
yor_Latn,0.2905,0.1047,0.2905
kac_Latn,0.2628,0.0849,0.2628
srd_Latn,0.9002,0.469,0.9002
cat_Latn,1.0,0.6957,1.0
gle_Latn,0.6868,0.2626,0.6868
bjn_Latn,0.8172,0.4204,0.8172
zul_Latn,0.2757,0.1001,0.2757
kon_Latn,0.3686,0.143,0.3686
hrv_Latn,0.9891,0.6318,0.9891
bel_Cyrl,0.9644,0.4651,0.9644
kas_Deva,0.6097,0.2091,0.6097
kab_Latn,0.1077,0.0416,0.1077
slv_Latn,0.9931,0.5865,0.9931
pap_Latn,0.9012,0.4986,0.9012
swh_Latn,0.7263,0.3292,0.7263
glg_Latn,1.0,0.7215,1.0
sin_Sinh,0.6621,0.2134,0.6621
xho_Latn,0.3182,0.1236,0.3182
tsn_Latn,0.2559,0.1047,0.2559
ltg_Latn,0.663,0.2853,0.663
ban_Latn,0.7184,0.3381,0.7184
ben_Beng,0.9644,0.4713,0.9644
tso_Latn,0.2628,0.1079,0.2628
heb_Hebr,0.9921,0.6564,0.9921
mlt_Latn,0.9308,0.4564,0.9308
mkd_Cyrl,0.996,0.6,0.996
umb_Latn,0.2273,0.0868,0.2273
kbp_Latn,0.2115,0.0676,0.2115
gla_Latn,0.5613,0.1981,0.5613
kmb_Latn,0.248,0.1001,0.248
bug_Latn,0.5217,0.2287,0.5217
gaz_Latn,0.2045,0.0739,0.2045
arz_Arab,0.9852,0.6161,0.9852
srp_Cyrl,0.9931,0.6007,0.9931
afr_Latn,0.998,0.6578,0.998
ajp_Arab,0.9852,0.6503,0.9852
fon_Latn,0.2233,0.0742,0.2233
aeb_Arab,0.9674,0.5828,0.9674
awa_Deva,0.9585,0.4716,0.9585
guj_Gujr,0.9328,0.4132,0.9328
eus_Latn,0.8735,0.3924,0.8735
ary_Arab,0.9032,0.5051,0.9032
mya_Mymr,0.6868,0.1659,0.6868
azj_Latn,0.8972,0.4234,0.8972
ceb_Latn,0.9644,0.5377,0.9644
tur_Latn,0.9684,0.5977,0.9684
deu_Latn,1.0,0.7633,1.0
bjn_Arab,0.1443,0.0538,0.1443
smo_Latn,0.4298,0.1854,0.4298
jpn_Jpan,0.9891,0.7058,0.9891
mni_Beng,0.3231,0.0906,0.3231
wol_Latn,0.337,0.1421,0.337
fao_Latn,0.7609,0.334,0.7609
ayr_Latn,0.254,0.0915,0.254
oci_Latn,0.9881,0.624,0.9881
urd_Arab,0.9684,0.5077,0.9684
azb_Arab,0.5543,0.2307,0.5543
lus_Latn,0.4486,0.1801,0.4486
shn_Mymr,0.1206,0.0212,0.1206
kaz_Cyrl,0.7826,0.3051,0.7826
nso_Latn,0.3034,0.1304,0.3034
npi_Deva,0.9348,0.4183,0.9348
hat_Latn,0.8923,0.4294,0.8923
scn_Latn,0.8953,0.4696,0.8953
tha_Thai,0.9723,0.5674,0.9723
tam_Taml,0.9051,0.3686,0.9051
taq_Latn,0.2717,0.11,0.2717
yue_Hant,1.0,0.8137,1.0
kat_Geor,0.8686,0.3934,0.8686
ell_Grek,0.7964,0.4041,0.7964
hau_Latn,0.3508,0.1632,0.3508
lij_Latn,0.915,0.4866,0.915
bod_Tibt,0.081,0.0205,0.081
sag_Latn,0.2678,0.1091,0.2678
vec_Latn,0.9773,0.6048,0.9773
dan_Latn,0.997,0.6885,0.997
nus_Latn,0.1621,0.0542,0.1621
ckb_Arab,0.6759,0.2427,0.6759
mri_Latn,0.583,0.2354,0.583
som_Latn,0.2875,0.1257,0.2875
lim_Latn,0.8874,0.483,0.8874
spa_Latn,0.999,0.7815,0.999
jav_Latn,0.9476,0.534,0.9476
zho_Hans,0.998,0.811,0.998
aka_Latn,0.3152,0.1285,0.3152
nno_Latn,0.9842,0.6288,0.9842
ars_Arab,0.998,0.6774,0.998
prs_Arab,0.9852,0.564,0.9852
ssw_Latn,0.2727,0.0955,0.2727
sun_Latn,0.9239,0.4908,0.9239
acq_Arab,0.9921,0.6572,0.9921
nld_Latn,0.997,0.7039,0.997
swe_Latn,0.999,0.7018,0.999
tgl_Latn,0.9506,0.5691,0.9506
eng_Latn,1.0,1.0,1.0
mar_Deva,0.9298,0.4442,0.9298
vie_Latn,0.999,0.7271,0.999
por_Latn,1.0,0.7966,1.0
kam_Latn,0.2747,0.1199,0.2747
sat_Olck,0.0069,0.0019,0.0069
fra_Latn,1.0,0.7929,1.0
lin_Latn,0.3706,0.154,0.3706
acm_Arab,0.9852,0.6565,0.9852
ilo_Latn,0.7194,0.3289,0.7194
ast_Latn,0.9951,0.6734,0.9951
kea_Latn,0.8893,0.4912,0.8893
bos_Latn,0.9901,0.6361,0.9901
mos_Latn,0.252,0.1037,0.252
cym_Latn,0.8646,0.4056,0.8646
knc_Latn,0.3014,0.1133,0.3014
san_Deva,0.833,0.348,0.833
tpi_Latn,0.7441,0.346,0.7441
khk_Cyrl,0.7332,0.2933,0.7332
amh_Ethi,0.5326,0.1744,0.5326
tir_Ethi,0.1927,0.0615,0.1927
bem_Latn,0.3043,0.1208,0.3043
hye_Armn,0.9595,0.4421,0.9595
