code,Qwen/Qwen3-0.6B_max,Qwen/Qwen3-0.6B_mean,avg
tsn_Latn,0.0534,0.0114,0.0534
xho_Latn,0.0474,0.0101,0.0474
sin_Sinh,0.001,0.0001,0.001
glg_Latn,0.8775,0.3514,0.8775
swh_Latn,0.0366,0.0098,0.0366
mlt_Latn,0.0445,0.0144,0.0445
heb_Hebr,0.3775,0.0927,0.3775
tso_Latn,0.0534,0.011,0.0534
ben_Beng,0.0188,0.0041,0.0188
hrv_Latn,0.4931,0.1104,0.4931
zul_Latn,0.0395,0.0059,0.0395
cat_Latn,0.8508,0.263,0.8508
yor_Latn,0.0277,0.0079,0.0277
bam_Latn,0.0336,0.008,0.0336
slv_Latn,0.3458,0.0692,0.3458
mya_Mymr,0.001,0.0002,0.001
eus_Latn,0.0227,0.0085,0.0227
guj_Gujr,0.0049,0.0012,0.0049
wol_Latn,0.0524,0.0125,0.0524
jpn_Jpan,0.4447,0.1573,0.4447
deu_Latn,0.8883,0.3128,0.8883
tur_Latn,0.2401,0.0652,0.2401
ceb_Latn,0.0939,0.0404,0.0939
afr_Latn,0.5099,0.1417,0.5099
arz_Arab,0.3488,0.0877,0.3488
gaz_Latn,0.0138,0.0026,0.0138
kat_Geor,0.0049,0.0017,0.0049
tam_Taml,0.003,0.001,0.003
tha_Thai,0.2549,0.0375,0.2549
hat_Latn,0.0613,0.0199,0.0613
bod_Tibt,0.001,0.0001,0.001
hau_Latn,0.0484,0.0125,0.0484
ell_Grek,0.0534,0.0096,0.0534
urd_Arab,0.0287,0.0047,0.0287
oci_Latn,0.5366,0.1598,0.5366
kaz_Cyrl,0.0119,0.0024,0.0119
shn_Mymr,0.002,0.0007,0.002
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.1146,0.0404,0.1146
swe_Latn,0.7955,0.2455,0.7955
nld_Latn,0.7846,0.2542,0.7846
lin_Latn,0.0583,0.0128,0.0583
fra_Latn,0.9368,0.4066,0.9368
por_Latn,0.9694,0.4633,0.9694
vie_Latn,0.8913,0.355,0.8913
mar_Deva,0.0109,0.0024,0.0109
spa_Latn,0.9269,0.427,0.9269
som_Latn,0.0336,0.0056,0.0336
mri_Latn,0.0445,0.0098,0.0445
ckb_Arab,0.004,0.0014,0.004
dan_Latn,0.7668,0.2255,0.7668
sun_Latn,0.0929,0.042,0.0929
ssw_Latn,0.0385,0.0083,0.0385
ars_Arab,0.5889,0.1454,0.5889
zho_Hans,0.92,0.6898,0.92
jav_Latn,0.0879,0.0399,0.0879
khm_Khmr,0.003,0.0018,0.003
hye_Armn,0.0069,0.0024,0.0069
uzn_Latn,0.0128,0.0053,0.0128
ind_Latn,0.8755,0.3035,0.8755
pol_Latn,0.6215,0.1593,0.6215
kea_Latn,0.1117,0.0519,0.1117
ast_Latn,0.6285,0.2199,0.6285
ilo_Latn,0.082,0.0232,0.082
acm_Arab,0.4634,0.1061,0.4634
tir_Ethi,0.001,0.0005,0.001
amh_Ethi,0.003,0.0009,0.003
khk_Cyrl,0.003,0.0009,0.003
pan_Guru,0.003,0.0005,0.003
pbt_Arab,0.0109,0.0024,0.0109
hin_Deva,0.0395,0.0067,0.0395
pes_Arab,0.1354,0.0266,0.1354
apc_Arab,0.3686,0.0859,0.3686
kir_Cyrl,0.0099,0.0031,0.0099
sot_Latn,0.0662,0.0133,0.0662
lit_Latn,0.1206,0.0304,0.1206
war_Latn,0.1057,0.0433,0.1057
tel_Telu,0.003,0.001,0.003
ita_Latn,0.9111,0.3619,0.9111
ron_Latn,0.7569,0.2044,0.7569
ces_Latn,0.5791,0.1299,0.5791
als_Latn,0.0573,0.0171,0.0573
lao_Laoo,0.0069,0.0037,0.0069
zsm_Latn,0.7757,0.24,0.7757
grn_Latn,0.0405,0.0147,0.0405
est_Latn,0.0563,0.0181,0.0563
rus_Cyrl,0.8142,0.2732,0.8142
zho_Hant,0.8399,0.5624,0.8399
tgk_Cyrl,0.0099,0.0032,0.0099
kin_Latn,0.0395,0.0089,0.0395
nya_Latn,0.0524,0.0109,0.0524
arb_Latn,0.0237,0.0032,0.0237
asm_Beng,0.003,0.0006,0.003
slk_Latn,0.501,0.1043,0.501
ukr_Cyrl,0.4743,0.078,0.4743
lug_Latn,0.0524,0.0108,0.0524
isl_Latn,0.0356,0.014,0.0356
fin_Latn,0.1196,0.0314,0.1196
arb_Arab,0.6057,0.1547,0.6057
ibo_Latn,0.0395,0.0072,0.0395
kan_Knda,0.002,0.0001,0.002
kor_Hang,0.3073,0.0956,0.3073
hun_Latn,0.2154,0.044,0.2154
nob_Latn,0.7253,0.2168,0.7253
sna_Latn,0.0464,0.0104,0.0464
lvs_Latn,0.0988,0.0211,0.0988
bul_Cyrl,0.6344,0.1171,0.6344
plt_Latn,0.0415,0.0073,0.0415
fuv_Latn,0.0682,0.0165,0.0682
mal_Mlym,0.003,0.0007,0.003
