code,swiss-ai/Apertus-v1.1-4B_max,swiss-ai/Apertus-v1.1-4B_mean,avg
afr_Latn,0.91,0.504,0.91
arz_Arab,0.86,0.4856,0.86
gaz_Latn,0.07,0.014,0.07
jpn_Jpan,0.86,0.5528,0.86
wol_Latn,0.17,0.052,0.17
ceb_Latn,0.49,0.1624,0.49
deu_Latn,0.99,0.7592,0.99
tur_Latn,0.85,0.4472,0.85
mya_Mymr,0.16,0.0608,0.16
guj_Gujr,0.41,0.1936,0.41
eus_Latn,0.68,0.2568,0.68
slv_Latn,0.94,0.5004,0.94
hrv_Latn,0.94,0.5408,0.94
zul_Latn,0.12,0.034,0.12
yor_Latn,0.07,0.036,0.07
bam_Latn,0.1,0.024,0.1
cat_Latn,0.93,0.5792,0.93
ben_Beng,0.51,0.2908,0.51
tso_Latn,0.2,0.0376,0.2
mlt_Latn,0.61,0.2256,0.61
heb_Hebr,0.88,0.418,0.88
sin_Sinh,0.03,0.0072,0.03
tsn_Latn,0.21,0.0476,0.21
xho_Latn,0.15,0.0424,0.15
glg_Latn,0.98,0.6776,0.98
swh_Latn,0.63,0.1804,0.63
ars_Arab,0.97,0.6292,0.97
ssw_Latn,0.17,0.034,0.17
sun_Latn,0.56,0.2504,0.56
jav_Latn,0.61,0.218,0.61
zho_Hans,0.95,0.7436,0.95
som_Latn,0.29,0.0944,0.29
spa_Latn,0.99,0.7744,0.99
ckb_Arab,0.12,0.036,0.12
dan_Latn,0.98,0.6176,0.98
mri_Latn,0.21,0.0576,0.21
fra_Latn,0.99,0.8212,0.99
lin_Latn,0.19,0.0624,0.19
mar_Deva,0.49,0.1796,0.49
vie_Latn,0.94,0.5952,0.94
por_Latn,0.99,0.7808,0.99
nld_Latn,0.98,0.6196,0.98
swe_Latn,0.99,0.6308,0.99
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.67,0.2616,0.67
kaz_Cyrl,0.52,0.2096,0.52
shn_Mymr,0.02,0.0104,0.02
oci_Latn,0.86,0.4428,0.86
urd_Arab,0.64,0.262,0.64
ell_Grek,0.9,0.4464,0.9
bod_Tibt,0.03,0.0048,0.03
hau_Latn,0.19,0.0652,0.19
kat_Geor,0.57,0.2804,0.57
hat_Latn,0.62,0.2408,0.62
tam_Taml,0.53,0.2304,0.53
tha_Thai,0.75,0.3448,0.75
ces_Latn,0.96,0.604,0.96
ron_Latn,0.94,0.5632,0.94
ita_Latn,0.97,0.6904,0.97
kir_Cyrl,0.37,0.14,0.37
apc_Arab,0.9,0.5268,0.9
hin_Deva,0.77,0.4156,0.77
pes_Arab,0.91,0.5556,0.91
tel_Telu,0.48,0.2292,0.48
war_Latn,0.46,0.1672,0.46
sot_Latn,0.24,0.044,0.24
lit_Latn,0.87,0.4024,0.87
pbt_Arab,0.46,0.152,0.46
pan_Guru,0.41,0.1728,0.41
amh_Ethi,0.04,0.0084,0.04
khk_Cyrl,0.39,0.1352,0.39
tir_Ethi,0.02,0.0032,0.02
kea_Latn,0.46,0.2316,0.46
ilo_Latn,0.28,0.1068,0.28
acm_Arab,0.93,0.5916,0.93
ast_Latn,0.95,0.5452,0.95
ind_Latn,0.98,0.6908,0.98
uzn_Latn,0.47,0.1924,0.47
pol_Latn,0.95,0.5536,0.95
hye_Armn,0.8,0.4364,0.8
khm_Khmr,0.07,0.024,0.07
lvs_Latn,0.83,0.3608,0.83
fuv_Latn,0.21,0.0672,0.21
mal_Mlym,0.43,0.202,0.43
plt_Latn,0.22,0.066,0.22
bul_Cyrl,0.94,0.5116,0.94
kor_Hang,0.94,0.5692,0.94
kan_Knda,0.47,0.2248,0.47
ibo_Latn,0.15,0.0496,0.15
nob_Latn,0.96,0.616,0.96
sna_Latn,0.16,0.038,0.16
hun_Latn,0.91,0.4744,0.91
arb_Arab,0.96,0.6456,0.96
ukr_Cyrl,0.96,0.5332,0.96
lug_Latn,0.22,0.0564,0.22
slk_Latn,0.94,0.5172,0.94
fin_Latn,0.9,0.4448,0.9
isl_Latn,0.73,0.2656,0.73
asm_Beng,0.2,0.0684,0.2
nya_Latn,0.18,0.0608,0.18
arb_Latn,0.1,0.0404,0.1
zho_Hant,0.94,0.6396,0.94
rus_Cyrl,0.96,0.7592,0.96
kin_Latn,0.17,0.0628,0.17
tgk_Cyrl,0.32,0.1056,0.32
lao_Laoo,0.06,0.0204,0.06
als_Latn,0.84,0.3848,0.84
est_Latn,0.88,0.4388,0.88
zsm_Latn,0.94,0.5792,0.94
grn_Latn,0.17,0.0416,0.17
