code,Qwen/Qwen3-1.7B_max,Qwen/Qwen3-1.7B_mean,avg
lua_Latn,0.0336,0.0171,0.0336
arb_Latn,0.0178,0.0074,0.0178
ydd_Hebr,0.0257,0.0073,0.0257
nya_Latn,0.0356,0.0143,0.0356
asm_Beng,0.0583,0.0128,0.0583
fur_Latn,0.3617,0.1298,0.3617
mag_Deva,0.1522,0.0304,0.1522
ace_Arab,0.002,0.0005,0.002
tum_Latn,0.0326,0.0099,0.0326
zsm_Latn,0.9387,0.3328,0.9387
grn_Latn,0.0395,0.0235,0.0395
est_Latn,0.5168,0.1258,0.5168
ewe_Latn,0.0198,0.0104,0.0198
fij_Latn,0.0346,0.0152,0.0346
als_Latn,0.5079,0.1207,0.5079
bho_Deva,0.0553,0.0155,0.0553
lao_Laoo,0.0168,0.0075,0.0168
hne_Deva,0.1126,0.026,0.1126
tgk_Cyrl,0.0326,0.0106,0.0326
kin_Latn,0.0296,0.0106,0.0296
rus_Cyrl,0.9545,0.3977,0.9545
zho_Hant,0.9713,0.6756,0.9713
hun_Latn,0.7292,0.1843,0.7292
lmo_Latn,0.3715,0.1215,0.3715
nob_Latn,0.9358,0.3503,0.9358
sna_Latn,0.0336,0.0139,0.0336
ltz_Latn,0.3063,0.0912,0.3063
quy_Latn,0.0198,0.0103,0.0198
tuk_Latn,0.0435,0.0152,0.0435
ibo_Latn,0.0208,0.0093,0.0208
kan_Knda,0.0237,0.0063,0.0237
kor_Hang,0.6433,0.2454,0.6433
bul_Cyrl,0.9002,0.2378,0.9002
plt_Latn,0.0316,0.0091,0.0316
fuv_Latn,0.0484,0.0244,0.0484
mal_Mlym,0.0306,0.0071,0.0306
dzo_Tibt,0.001,0.0001,0.001
lvs_Latn,0.6709,0.1549,0.6709
tat_Cyrl,0.0751,0.0208,0.0751
snd_Arab,0.0642,0.0129,0.0642
isl_Latn,0.1818,0.0473,0.1818
ace_Latn,0.0741,0.0366,0.0741
tzm_Tfng,0.002,0.0006,0.002
fin_Latn,0.6472,0.1582,0.6472
szl_Latn,0.4091,0.1318,0.4091
cjk_Latn,0.0247,0.013,0.0247
kik_Latn,0.0267,0.0118,0.0267
slk_Latn,0.8626,0.25,0.8626
dyu_Latn,0.0168,0.0102,0.0168
dik_Latn,0.0474,0.019,0.0474
ukr_Cyrl,0.8824,0.2343,0.8824
lug_Latn,0.0405,0.0152,0.0405
arb_Arab,0.9229,0.2892,0.9229
taq_Tfng,0.003,0.0003,0.003
ast_Latn,0.8706,0.3413,0.8706
acm_Arab,0.836,0.2553,0.836
ilo_Latn,0.1067,0.0402,0.1067
cym_Latn,0.0632,0.0218,0.0632
mos_Latn,0.0208,0.0112,0.0208
bos_Latn,0.9081,0.2813,0.9081
kea_Latn,0.3528,0.1316,0.3528
san_Deva,0.0227,0.0057,0.0227
knc_Latn,0.0346,0.0143,0.0346
tir_Ethi,0.002,0.0005,0.002
amh_Ethi,0.004,0.0019,0.004
