code,google/gemma-4-E2B_max,google/gemma-4-E2B_mean,avg
war_Latn,0.92,0.4361,0.92
oci_Latn,0.97,0.5972,0.97
pbt_Arab,0.86,0.3842,0.86
hau_Latn,0.85,0.3386,0.85
sin_Sinh,0.93,0.4106,0.93
lit_Latn,0.99,0.5794,0.99
afr_Latn,1.0,0.6631,1.0
pes_Arab,0.99,0.6872,0.99
zho_Hant,0.99,0.8114,0.99
uzn_Latn,0.87,0.3594,0.87
kor_Hang,0.98,0.6594,0.98
ind_Latn,1.0,0.8156,1.0
kir_Cyrl,0.87,0.3331,0.87
khk_Cyrl,0.86,0.3397,0.86
zho_Hans,1.0,0.8531,1.0
arb_Arab,0.99,0.7044,0.99
tsn_Latn,0.52,0.1369,0.52
fin_Latn,0.99,0.6283,0.99
ibo_Latn,0.61,0.1894,0.61
spa_Latn,0.99,0.8744,0.99
lao_Laoo,0.96,0.5061,0.96
ell_Grek,1.0,0.6525,1.0
kat_Geor,0.94,0.4917,0.94
slk_Latn,0.99,0.6842,0.99
nya_Latn,0.68,0.2378,0.68
kaz_Cyrl,0.93,0.4289,0.93
ben_Beng,0.96,0.6783,0.96
hat_Latn,0.91,0.4478,0.91
tir_Ethi,0.59,0.1622,0.59
hun_Latn,0.99,0.6308,0.99
eus_Latn,0.93,0.4075,0.93
sot_Latn,0.63,0.1903,0.63
urd_Arab,0.98,0.5717,0.98
kan_Knda,0.93,0.5217,0.93
nob_Latn,1.0,0.7514,1.0
lug_Latn,0.41,0.1269,0.41
zsm_Latn,1.0,0.7406,1.0
fra_Latn,0.99,0.8686,0.99
tgk_Cyrl,0.89,0.3603,0.89
dan_Latn,0.99,0.7497,0.99
shn_Mymr,0.36,0.0636,0.36
arb_Latn,0.54,0.1628,0.54
pan_Guru,0.93,0.4669,0.93
xho_Latn,0.68,0.2256,0.68
pol_Latn,1.0,0.7347,1.0
tha_Thai,0.99,0.7058,0.99
bod_Tibt,0.44,0.0958,0.44
por_Latn,1.0,0.8664,1.0
glg_Latn,1.0,0.7483,1.0
guj_Gujr,0.94,0.5547,0.94
tam_Taml,0.95,0.5647,0.95
fuv_Latn,0.16,0.0742,0.16
tso_Latn,0.43,0.1192,0.43
eng_Latn,1.0,1.0,1.0
hrv_Latn,0.99,0.7136,0.99
amh_Ethi,0.92,0.4092,0.92
slv_Latn,0.99,0.6411,0.99
mal_Mlym,0.88,0.5042,0.88
wol_Latn,0.22,0.0775,0.22
tur_Latn,0.97,0.6303,0.97
cat_Latn,1.0,0.7389,1.0
jpn_Jpan,0.98,0.6897,0.98
hin_Deva,0.98,0.7311,0.98
acm_Arab,1.0,0.6811,1.0
mar_Deva,0.96,0.5439,0.96
swh_Latn,0.98,0.5814,0.98
ars_Arab,0.99,0.705,0.99
bul_Cyrl,0.99,0.6867,0.99
kin_Latn,0.73,0.2339,0.73
bam_Latn,0.17,0.0508,0.17
plt_Latn,0.81,0.3192,0.81
zul_Latn,0.79,0.2525,0.79
heb_Hebr,1.0,0.6772,1.0
ron_Latn,1.0,0.735,1.0
ckb_Arab,0.9,0.3606,0.9
kea_Latn,0.85,0.4108,0.85
sun_Latn,0.91,0.4642,0.91
ilo_Latn,0.72,0.2592,0.72
som_Latn,0.81,0.2872,0.81
asm_Beng,0.88,0.4042,0.88
ukr_Cyrl,0.99,0.7303,0.99
gaz_Latn,0.21,0.0519,0.21
tel_Telu,0.93,0.5139,0.93
tgl_Latn,1.0,0.6342,1.0
als_Latn,0.98,0.5875,0.98
deu_Latn,1.0,0.8406,1.0
swe_Latn,1.0,0.7569,1.0
rus_Cyrl,0.99,0.8275,0.99
nld_Latn,1.0,0.7686,1.0
grn_Latn,0.3,0.0822,0.3
yor_Latn,0.34,0.0928,0.34
khm_Khmr,0.99,0.5536,0.99
sna_Latn,0.75,0.2228,0.75
mya_Mymr,0.87,0.3564,0.87
ast_Latn,0.99,0.67,0.99
lin_Latn,0.42,0.1361,0.42
ces_Latn,0.99,0.7383,0.99
mri_Latn,0.6,0.1942,0.6
vie_Latn,1.0,0.8006,1.0
apc_Arab,0.97,0.6569,0.97
est_Latn,0.99,0.6056,0.99
mlt_Latn,0.97,0.5208,0.97
isl_Latn,0.96,0.4744,0.96
ita_Latn,1.0,0.8517,1.0
jav_Latn,0.95,0.4625,0.95
ceb_Latn,0.97,0.5264,0.97
lvs_Latn,0.96,0.5617,0.96
ssw_Latn,0.53,0.1586,0.53
arz_Arab,0.97,0.6314,0.97
hye_Armn,0.97,0.5122,0.97
