code,FacebookAI/xlm-roberta-base_max,FacebookAI/xlm-roberta-base_mean,avg
fra_Latn,0.9101,0.6354,0.9101
lin_Latn,0.0494,0.0209,0.0494
vie_Latn,0.9121,0.5954,0.9121
mar_Deva,0.4951,0.2724,0.4951
por_Latn,0.9792,0.776,0.9792
nld_Latn,0.8962,0.6767,0.8962
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.4743,0.271,0.4743
swe_Latn,0.9891,0.8024,0.9891
ars_Arab,0.7075,0.4127,0.7075
sun_Latn,0.2648,0.1672,0.2648
ssw_Latn,0.0296,0.0119,0.0296
zho_Hans,0.7915,0.4886,0.7915
jav_Latn,0.4061,0.2311,0.4061
som_Latn,0.0919,0.0578,0.0919
spa_Latn,0.914,0.6694,0.914
ckb_Arab,0.002,0.0013,0.002
dan_Latn,0.9792,0.7971,0.9792
mri_Latn,0.0247,0.0113,0.0247
bod_Tibt,0.0059,0.0028,0.0059
hau_Latn,0.1383,0.0763,0.1383
ell_Grek,0.7204,0.376,0.7204
kat_Geor,0.4387,0.2336,0.4387
hat_Latn,0.0603,0.0236,0.0603
tam_Taml,0.334,0.1687,0.334
tha_Thai,0.5899,0.335,0.5899
shn_Mymr,0.004,0.0014,0.004
kaz_Cyrl,0.4368,0.2227,0.4368
oci_Latn,0.2559,0.1564,0.2559
urd_Arab,0.4822,0.2435,0.4822
jpn_Jpan,0.7243,0.4032,0.7243
wol_Latn,0.0534,0.0196,0.0534
tur_Latn,0.837,0.5273,0.837
deu_Latn,0.9545,0.6961,0.9545
ceb_Latn,0.0988,0.0798,0.0988
mya_Mymr,0.0316,0.0139,0.0316
eus_Latn,0.6304,0.3362,0.6304
guj_Gujr,0.3043,0.1483,0.3043
afr_Latn,0.9239,0.6215,0.9239
gaz_Latn,0.0079,0.0021,0.0079
arz_Arab,0.4862,0.2701,0.4862
ben_Beng,0.3043,0.1583,0.3043
heb_Hebr,0.8854,0.5422,0.8854
mlt_Latn,0.0208,0.0087,0.0208
tso_Latn,0.0405,0.0154,0.0405
sin_Sinh,0.3636,0.1685,0.3636
tsn_Latn,0.0306,0.0116,0.0306
xho_Latn,0.0385,0.0186,0.0385
glg_Latn,0.9575,0.6928,0.9575
swh_Latn,0.5741,0.306,0.5741
slv_Latn,0.9032,0.5528,0.9032
zul_Latn,0.0247,0.0151,0.0247
hrv_Latn,0.9328,0.6206,0.9328
yor_Latn,0.0188,0.0094,0.0188
bam_Latn,0.0257,0.0113,0.0257
cat_Latn,0.9071,0.5607,0.9071
arb_Arab,0.7164,0.4219,0.7164
ukr_Cyrl,0.9042,0.5806,0.9042
lug_Latn,0.0464,0.0163,0.0464
slk_Latn,0.915,0.5699,0.915
fin_Latn,0.8735,0.5524,0.8735
isl_Latn,0.67,0.3628,0.67
lvs_Latn,0.832,0.4477,0.832
plt_Latn,0.0771,0.0399,0.0771
mal_Mlym,0.2974,0.1421,0.2974
fuv_Latn,0.0642,0.0219,0.0642
bul_Cyrl,0.9308,0.644,0.9308
kan_Knda,0.3439,0.1668,0.3439
kor_Hang,0.6937,0.4012,0.6937
ibo_Latn,0.0188,0.0065,0.0188
hun_Latn,0.8715,0.5724,0.8715
nob_Latn,0.9694,0.7814,0.9694
sna_Latn,0.0346,0.0131,0.0346
zho_Hant,0.7885,0.4826,0.7885
rus_Cyrl,0.9111,0.6326,0.9111
kin_Latn,0.0267,0.0111,0.0267
tgk_Cyrl,0.003,0.0011,0.003
lao_Laoo,0.2441,0.1282,0.2441
als_Latn,0.7866,0.426,0.7866
zsm_Latn,0.9575,0.7147,0.9575
grn_Latn,0.0257,0.0138,0.0257
est_Latn,0.8429,0.4783,0.8429
asm_Beng,0.0267,0.0101,0.0267
nya_Latn,0.0534,0.0186,0.0534
arb_Latn,0.0158,0.0059,0.0158
apc_Arab,0.5336,0.3057,0.5336
kir_Cyrl,0.3923,0.2024,0.3923
pes_Arab,0.9012,0.6111,0.9012
hin_Deva,0.6709,0.3675,0.6709
tel_Telu,0.3182,0.1561,0.3182
lit_Latn,0.8271,0.4744,0.8271
sot_Latn,0.0474,0.0165,0.0474
war_Latn,0.1077,0.0636,0.1077
pan_Guru,0.1759,0.0758,0.1759
pbt_Arab,0.2678,0.1347,0.2678
ces_Latn,0.8874,0.565,0.8874
ita_Latn,0.9279,0.6434,0.9279
ron_Latn,0.913,0.6461,0.913
ind_Latn,0.9625,0.7618,0.9625
uzn_Latn,0.334,0.164,0.334
pol_Latn,0.8439,0.5472,0.8439
khm_Khmr,0.165,0.0845,0.165
hye_Armn,0.5741,0.2964,0.5741
tir_Ethi,0.002,0.0008,0.002
khk_Cyrl,0.3913,0.2021,0.3913
amh_Ethi,0.1542,0.0691,0.1542
kea_Latn,0.085,0.0651,0.085
acm_Arab,0.6265,0.3649,0.6265
ilo_Latn,0.0781,0.0296,0.0781
ast_Latn,0.4002,0.2723,0.4002
