code,Qwen/Qwen3-Embedding-4B_max,Qwen/Qwen3-Embedding-4B_mean,avg
urd_Arab,0.98,0.4905,0.98
oci_Latn,0.99,0.6595,0.99
shn_Mymr,0.29,0.0268,0.29
kaz_Cyrl,0.86,0.4095,0.86
tha_Thai,0.98,0.5686,0.98
tam_Taml,0.93,0.3041,0.93
hat_Latn,0.86,0.4249,0.86
kat_Geor,0.79,0.3368,0.79
ell_Grek,0.95,0.4584,0.95
hau_Latn,0.53,0.2119,0.53
bod_Tibt,0.13,0.0178,0.13
mri_Latn,0.65,0.2205,0.65
dan_Latn,1.0,0.7216,1.0
ckb_Arab,0.67,0.2486,0.67
spa_Latn,1.0,0.8089,1.0
som_Latn,0.51,0.1657,0.51
jav_Latn,0.92,0.5292,0.92
zho_Hans,1.0,0.8522,1.0
ssw_Latn,0.33,0.1157,0.33
sun_Latn,0.93,0.5295,0.93
ars_Arab,0.98,0.6951,0.98
swe_Latn,0.99,0.7297,0.99
tgl_Latn,0.97,0.5524,0.97
eng_Latn,1.0,1.0,1.0
nld_Latn,1.0,0.7611,1.0
por_Latn,1.0,0.8195,1.0
mar_Deva,0.92,0.4084,0.92
vie_Latn,1.0,0.7657,1.0
lin_Latn,0.49,0.1827,0.49
fra_Latn,1.0,0.7884,1.0
cat_Latn,1.0,0.7135,1.0
bam_Latn,0.47,0.1151,0.47
yor_Latn,0.42,0.1362,0.42
hrv_Latn,0.99,0.6557,0.99
zul_Latn,0.29,0.1022,0.29
slv_Latn,0.97,0.5968,0.97
swh_Latn,0.71,0.3154,0.71
glg_Latn,1.0,0.7681,1.0
xho_Latn,0.45,0.1332,0.45
tsn_Latn,0.39,0.13,0.39
sin_Sinh,0.64,0.1562,0.64
tso_Latn,0.4,0.1227,0.4
mlt_Latn,0.85,0.4624,0.85
heb_Hebr,0.99,0.6559,0.99
ben_Beng,0.95,0.4362,0.95
arz_Arab,0.98,0.6319,0.98
gaz_Latn,0.21,0.0789,0.21
afr_Latn,0.99,0.7038,0.99
guj_Gujr,0.91,0.3481,0.91
eus_Latn,0.79,0.393,0.79
mya_Mymr,0.79,0.1349,0.79
ceb_Latn,0.91,0.5035,0.91
deu_Latn,1.0,0.7792,1.0
tur_Latn,0.97,0.6162,0.97
wol_Latn,0.56,0.1754,0.56
jpn_Jpan,0.99,0.7273,0.99
arb_Latn,0.57,0.2111,0.57
nya_Latn,0.46,0.153,0.46
asm_Beng,0.86,0.3386,0.86
est_Latn,0.98,0.5111,0.98
grn_Latn,0.6,0.2286,0.6
zsm_Latn,0.98,0.6973,0.98
als_Latn,0.95,0.5227,0.95
lao_Laoo,0.73,0.227,0.73
tgk_Cyrl,0.71,0.2854,0.71
kin_Latn,0.33,0.1165,0.33
rus_Cyrl,1.0,0.7443,1.0
zho_Hant,0.99,0.8314,0.99
sna_Latn,0.4,0.1268,0.4
nob_Latn,0.99,0.7016,0.99
hun_Latn,0.98,0.6008,0.98
ibo_Latn,0.37,0.1235,0.37
kor_Hang,1.0,0.6492,1.0
kan_Knda,0.93,0.3241,0.93
bul_Cyrl,1.0,0.6478,1.0
fuv_Latn,0.45,0.1922,0.45
mal_Mlym,0.9,0.3249,0.9
plt_Latn,0.47,0.1424,0.47
lvs_Latn,0.97,0.5619,0.97
isl_Latn,0.75,0.32,0.75
fin_Latn,0.96,0.5441,0.96
slk_Latn,0.99,0.6386,0.99
lug_Latn,0.43,0.1481,0.43
ukr_Cyrl,0.99,0.6319,0.99
arb_Arab,1.0,0.7076,1.0
ast_Latn,0.99,0.7189,0.99
acm_Arab,0.98,0.6768,0.98
ilo_Latn,0.8,0.34,0.8
kea_Latn,0.91,0.4546,0.91
amh_Ethi,0.54,0.1581,0.54
khk_Cyrl,0.67,0.2511,0.67
tir_Ethi,0.24,0.0503,0.24
hye_Armn,0.9,0.3711,0.9
khm_Khmr,0.89,0.2576,0.89
pol_Latn,1.0,0.6824,1.0
uzn_Latn,0.86,0.3868,0.86
ind_Latn,1.0,0.7543,1.0
ron_Latn,1.0,0.7081,1.0
ita_Latn,1.0,0.7738,1.0
ces_Latn,1.0,0.663,1.0
pbt_Arab,0.81,0.3246,0.81
pan_Guru,0.93,0.3551,0.93
war_Latn,0.93,0.4357,0.93
sot_Latn,0.5,0.1365,0.5
lit_Latn,0.97,0.59,0.97
tel_Telu,0.93,0.303,0.93
hin_Deva,0.99,0.5224,0.99
pes_Arab,0.96,0.5681,0.96
kir_Cyrl,0.76,0.2992,0.76
apc_Arab,0.99,0.6741,0.99
