code,Qwen/Qwen3-0.6B_max,Qwen/Qwen3-0.6B_mean,avg
ell_Grek,0.13,0.0345,0.13
bod_Tibt,0.02,0.0007,0.02
hau_Latn,0.14,0.0541,0.14
hat_Latn,0.17,0.0938,0.17
tam_Taml,0.05,0.0097,0.05
tha_Thai,0.54,0.1455,0.54
kat_Geor,0.04,0.0079,0.04
shn_Mymr,0.02,0.0028,0.02
kaz_Cyrl,0.1,0.0279,0.1
oci_Latn,0.71,0.289,0.71
urd_Arab,0.07,0.0179,0.07
mar_Deva,0.03,0.0076,0.03
vie_Latn,0.93,0.4762,0.93
por_Latn,0.98,0.5659,0.98
fra_Latn,0.93,0.469,0.93
lin_Latn,0.13,0.0655,0.13
nld_Latn,0.91,0.3755,0.91
swe_Latn,0.8,0.3321,0.8
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.24,0.1214,0.24
jav_Latn,0.26,0.1179,0.26
zho_Hans,1.0,0.8066,1.0
ars_Arab,0.72,0.2648,0.72
ssw_Latn,0.16,0.0386,0.16
sun_Latn,0.3,0.1448,0.3
ckb_Arab,0.02,0.0083,0.02
dan_Latn,0.9,0.3479,0.9
mri_Latn,0.14,0.031,0.14
som_Latn,0.15,0.0317,0.15
spa_Latn,0.96,0.5266,0.96
ben_Beng,0.08,0.031,0.08
tso_Latn,0.1,0.0531,0.1
mlt_Latn,0.16,0.0693,0.16
heb_Hebr,0.49,0.1628,0.49
glg_Latn,0.92,0.4686,0.92
swh_Latn,0.09,0.0466,0.09
sin_Sinh,0.02,0.0055,0.02
tsn_Latn,0.15,0.0434,0.15
xho_Latn,0.15,0.0421,0.15
slv_Latn,0.58,0.1583,0.58
yor_Latn,0.07,0.0321,0.07
bam_Latn,0.1,0.0286,0.1
cat_Latn,0.89,0.3452,0.89
hrv_Latn,0.71,0.21,0.71
zul_Latn,0.1,0.031,0.1
ceb_Latn,0.24,0.1093,0.24
deu_Latn,0.92,0.4252,0.92
tur_Latn,0.34,0.1117,0.34
jpn_Jpan,0.51,0.2607,0.51
wol_Latn,0.12,0.0548,0.12
guj_Gujr,0.02,0.0107,0.02
eus_Latn,0.1,0.0476,0.1
mya_Mymr,0.01,0.0028,0.01
arz_Arab,0.68,0.23,0.68
gaz_Latn,0.06,0.019,0.06
afr_Latn,0.73,0.2759,0.73
kin_Latn,0.14,0.04,0.14
tgk_Cyrl,0.06,0.0193,0.06
zho_Hant,0.92,0.6452,0.92
rus_Cyrl,0.89,0.3748,0.89
est_Latn,0.18,0.0617,0.18
zsm_Latn,0.82,0.3397,0.82
grn_Latn,0.12,0.0528,0.12
lao_Laoo,0.04,0.02,0.04
als_Latn,0.23,0.0762,0.23
asm_Beng,0.03,0.01,0.03
arb_Latn,0.06,0.0279,0.06
nya_Latn,0.11,0.049,0.11
arb_Arab,0.72,0.2583,0.72
fin_Latn,0.29,0.0872,0.29
isl_Latn,0.08,0.0317,0.08
ukr_Cyrl,0.75,0.1966,0.75
lug_Latn,0.13,0.0479,0.13
slk_Latn,0.7,0.2059,0.7
fuv_Latn,0.18,0.0934,0.18
mal_Mlym,0.03,0.0062,0.03
plt_Latn,0.13,0.0355,0.13
bul_Cyrl,0.73,0.2069,0.73
lvs_Latn,0.26,0.0579,0.26
nob_Latn,0.8,0.3483,0.8
sna_Latn,0.12,0.0352,0.12
hun_Latn,0.37,0.0883,0.37
kor_Hang,0.34,0.1366,0.34
kan_Knda,0.05,0.0117,0.05
ibo_Latn,0.13,0.0428,0.13
pol_Latn,0.74,0.2814,0.74
ind_Latn,0.91,0.4055,0.91
uzn_Latn,0.06,0.0155,0.06
hye_Armn,0.07,0.0169,0.07
khm_Khmr,0.03,0.0097,0.03
amh_Ethi,0.04,0.0107,0.04
khk_Cyrl,0.02,0.0066,0.02
tir_Ethi,0.02,0.0062,0.02
acm_Arab,0.7,0.2434,0.7
ilo_Latn,0.18,0.0783,0.18
ast_Latn,0.81,0.3614,0.81
kea_Latn,0.27,0.1417,0.27
tel_Telu,0.05,0.019,0.05
war_Latn,0.28,0.1252,0.28
sot_Latn,0.14,0.0476,0.14
lit_Latn,0.34,0.0876,0.34
kir_Cyrl,0.05,0.0231,0.05
apc_Arab,0.56,0.1686,0.56
hin_Deva,0.22,0.0766,0.22
pes_Arab,0.29,0.0721,0.29
pbt_Arab,0.06,0.0245,0.06
pan_Guru,0.07,0.0159,0.07
ces_Latn,0.71,0.2245,0.71
ron_Latn,0.83,0.3021,0.83
ita_Latn,0.95,0.4797,0.95
