code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
arz_Arab,0.6966,0.358,0.6966
gaz_Latn,0.0198,0.0049,0.0198
afr_Latn,0.9338,0.4597,0.9338
deu_Latn,0.9664,0.6097,0.9664
tur_Latn,0.7075,0.336,0.7075
ceb_Latn,0.6858,0.2444,0.6858
wol_Latn,0.0613,0.0294,0.0613
jpn_Jpan,0.8182,0.4854,0.8182
eus_Latn,0.4032,0.1298,0.4032
guj_Gujr,0.1927,0.0621,0.1927
mya_Mymr,0.0109,0.003,0.0109
slv_Latn,0.8775,0.3724,0.8775
cat_Latn,0.9674,0.5411,0.9674
bam_Latn,0.0356,0.0156,0.0356
yor_Latn,0.0287,0.0116,0.0287
hrv_Latn,0.9219,0.422,0.9219
zul_Latn,0.0455,0.0163,0.0455
mlt_Latn,0.3874,0.1343,0.3874
heb_Hebr,0.9111,0.4692,0.9111
tso_Latn,0.0623,0.0212,0.0623
ben_Beng,0.4091,0.15,0.4091
swh_Latn,0.1818,0.0578,0.1818
glg_Latn,0.9664,0.5655,0.9664
xho_Latn,0.0534,0.0202,0.0534
tsn_Latn,0.0553,0.0189,0.0553
sin_Sinh,0.0306,0.0085,0.0306
zho_Hans,0.9457,0.7509,0.9457
jav_Latn,0.6087,0.2334,0.6087
sun_Latn,0.4941,0.1877,0.4941
ssw_Latn,0.0435,0.0146,0.0435
ars_Arab,0.8696,0.4874,0.8696
mri_Latn,0.0672,0.028,0.0672
dan_Latn,0.9427,0.4989,0.9427
ckb_Arab,0.0791,0.0236,0.0791
spa_Latn,0.9605,0.6568,0.9605
som_Latn,0.0484,0.014,0.0484
por_Latn,0.9792,0.6665,0.9792
vie_Latn,0.9457,0.5713,0.9457
mar_Deva,0.3656,0.1258,0.3656
lin_Latn,0.0553,0.0315,0.0553
fra_Latn,0.9822,0.6679,0.9822
tgl_Latn,0.7836,0.2972,0.7836
eng_Latn,1.0,1.0,1.0
swe_Latn,0.9585,0.5094,0.9585
nld_Latn,0.9328,0.5156,0.9328
kaz_Cyrl,0.2806,0.0683,0.2806
shn_Mymr,0.0049,0.0012,0.0049
urd_Arab,0.5217,0.1771,0.5217
oci_Latn,0.8686,0.4232,0.8686
hau_Latn,0.0613,0.0226,0.0613
bod_Tibt,0.001,0.0001,0.001
ell_Grek,0.4881,0.1935,0.4881
tha_Thai,0.7332,0.3659,0.7332
tam_Taml,0.2006,0.0671,0.2006
hat_Latn,0.4308,0.1337,0.4308
kat_Geor,0.2945,0.0983,0.2945
ces_Latn,0.9368,0.431,0.9368
ita_Latn,0.9644,0.5935,0.9644
ron_Latn,0.9466,0.4857,0.9466
sot_Latn,0.0662,0.0225,0.0662
lit_Latn,0.7777,0.3034,0.7777
war_Latn,0.5672,0.2056,0.5672
tel_Telu,0.0939,0.0339,0.0939
hin_Deva,0.4387,0.1941,0.4387
pes_Arab,0.7154,0.2806,0.7154
apc_Arab,0.754,0.3917,0.754
kir_Cyrl,0.2006,0.0683,0.2006
pbt_Arab,0.1838,0.0591,0.1838
pan_Guru,0.1542,0.0454,0.1542
tir_Ethi,0.003,0.0007,0.003
amh_Ethi,0.0326,0.0106,0.0326
khk_Cyrl,0.1482,0.0408,0.1482
ast_Latn,0.9042,0.4843,0.9042
ilo_Latn,0.2342,0.0906,0.2342
acm_Arab,0.8162,0.4458,0.8162
kea_Latn,0.4585,0.2097,0.4585
pol_Latn,0.913,0.4412,0.913
uzn_Latn,0.3794,0.134,0.3794
ind_Latn,0.9466,0.5472,0.9466
khm_Khmr,0.0346,0.0126,0.0346
hye_Armn,0.4279,0.139,0.4279
bul_Cyrl,0.9121,0.4238,0.9121
plt_Latn,0.0494,0.0167,0.0494
fuv_Latn,0.0692,0.0314,0.0692
mal_Mlym,0.163,0.056,0.163
lvs_Latn,0.7312,0.2908,0.7312
hun_Latn,0.8251,0.3432,0.8251
sna_Latn,0.0455,0.0195,0.0455
nob_Latn,0.9407,0.4924,0.9407
ibo_Latn,0.0405,0.0149,0.0405
kan_Knda,0.1383,0.0448,0.1383
kor_Hang,0.7619,0.4185,0.7619
arb_Arab,0.8617,0.4899,0.8617
isl_Latn,0.4783,0.1449,0.4783
fin_Latn,0.7974,0.3023,0.7974
slk_Latn,0.9012,0.41,0.9012
lug_Latn,0.0662,0.0209,0.0662
ukr_Cyrl,0.9249,0.4257,0.9249
asm_Beng,0.1838,0.0564,0.1838
arb_Latn,0.081,0.0281,0.081
nya_Latn,0.0583,0.0228,0.0583
tgk_Cyrl,0.2164,0.0703,0.2164
kin_Latn,0.0425,0.0162,0.0425
rus_Cyrl,0.9565,0.6019,0.9565
zho_Hant,0.9417,0.7236,0.9417
grn_Latn,0.0553,0.032,0.0553
zsm_Latn,0.9101,0.4639,0.9101
est_Latn,0.7619,0.2773,0.7619
als_Latn,0.7628,0.2608,0.7628
lao_Laoo,0.0623,0.0275,0.0623
