code,FacebookAI/xlm-roberta-large_max,FacebookAI/xlm-roberta-large_mean,avg
lao_Laoo,0.77,0.4424,0.77
als_Latn,0.93,0.5896,0.93
est_Latn,0.94,0.652,0.94
zsm_Latn,0.99,0.7524,0.99
grn_Latn,0.05,0.0364,0.05
zho_Hant,0.91,0.6512,0.91
rus_Cyrl,0.94,0.7112,0.94
kin_Latn,0.09,0.042,0.09
tgk_Cyrl,0.04,0.0236,0.04
nya_Latn,0.1,0.0664,0.1
arb_Latn,0.04,0.0216,0.04
asm_Beng,0.32,0.122,0.32
ukr_Cyrl,0.95,0.6796,0.95
lug_Latn,0.1,0.058,0.1
slk_Latn,0.95,0.7324,0.95
fin_Latn,0.96,0.666,0.96
isl_Latn,0.85,0.5396,0.85
arb_Arab,0.86,0.586,0.86
kor_Hang,0.87,0.5616,0.87
kan_Knda,0.75,0.4004,0.75
ibo_Latn,0.06,0.0396,0.06
nob_Latn,0.99,0.856,0.99
sna_Latn,0.09,0.06,0.09
hun_Latn,0.96,0.692,0.96
lvs_Latn,0.95,0.598,0.95
fuv_Latn,0.15,0.0952,0.15
mal_Mlym,0.69,0.3856,0.69
plt_Latn,0.58,0.2604,0.58
bul_Cyrl,0.95,0.7152,0.95
hye_Armn,0.82,0.4628,0.82
khm_Khmr,0.68,0.318,0.68
ind_Latn,0.99,0.8428,0.99
uzn_Latn,0.69,0.3312,0.69
pol_Latn,0.96,0.702,0.96
kea_Latn,0.31,0.2012,0.31
ilo_Latn,0.18,0.0928,0.18
acm_Arab,0.87,0.5452,0.87
ast_Latn,0.8,0.5296,0.8
amh_Ethi,0.54,0.2712,0.54
khk_Cyrl,0.8,0.4196,0.8
tir_Ethi,0.05,0.0148,0.05
pan_Guru,0.73,0.3328,0.73
pbt_Arab,0.78,0.3984,0.78
kir_Cyrl,0.71,0.3764,0.71
apc_Arab,0.85,0.526,0.85
hin_Deva,0.92,0.582,0.92
pes_Arab,0.97,0.7344,0.97
tel_Telu,0.76,0.4304,0.76
war_Latn,0.26,0.2116,0.26
sot_Latn,0.08,0.044,0.08
lit_Latn,0.95,0.6464,0.95
ron_Latn,0.97,0.7644,0.97
ita_Latn,0.99,0.77,0.99
ces_Latn,0.97,0.7284,0.97
kat_Geor,0.83,0.4564,0.83
hat_Latn,0.2,0.1068,0.2
tam_Taml,0.77,0.44,0.77
tha_Thai,0.85,0.532,0.85
ell_Grek,0.91,0.5528,0.91
bod_Tibt,0.03,0.0104,0.03
hau_Latn,0.59,0.2856,0.59
oci_Latn,0.76,0.4568,0.76
urd_Arab,0.88,0.4028,0.88
kaz_Cyrl,0.88,0.5356,0.88
shn_Mymr,0.02,0.0108,0.02
nld_Latn,0.99,0.8132,0.99
swe_Latn,0.99,0.8656,0.99
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.9,0.5524,0.9
fra_Latn,0.95,0.7164,0.95
lin_Latn,0.12,0.0804,0.12
mar_Deva,0.88,0.5012,0.88
vie_Latn,0.94,0.7092,0.94
por_Latn,0.99,0.8548,0.99
som_Latn,0.52,0.2688,0.52
spa_Latn,0.98,0.8012,0.98
ckb_Arab,0.02,0.0124,0.02
dan_Latn,1.0,0.8636,1.0
mri_Latn,0.05,0.026,0.05
ars_Arab,0.87,0.5904,0.87
ssw_Latn,0.08,0.0448,0.08
sun_Latn,0.65,0.4124,0.65
jav_Latn,0.73,0.4348,0.73
zho_Hans,0.92,0.6636,0.92
sin_Sinh,0.73,0.3844,0.73
tsn_Latn,0.07,0.046,0.07
xho_Latn,0.19,0.0764,0.19
glg_Latn,0.99,0.7836,0.99
swh_Latn,0.84,0.5348,0.84
ben_Beng,0.76,0.4112,0.76
tso_Latn,0.08,0.0408,0.08
mlt_Latn,0.09,0.0664,0.09
heb_Hebr,0.96,0.652,0.96
hrv_Latn,0.99,0.7652,0.99
zul_Latn,0.17,0.0836,0.17
yor_Latn,0.05,0.0332,0.05
bam_Latn,0.05,0.0296,0.05
cat_Latn,0.96,0.6976,0.96
slv_Latn,0.97,0.6876,0.97
mya_Mymr,0.57,0.2248,0.57
guj_Gujr,0.8,0.428,0.8
eus_Latn,0.85,0.506,0.85
jpn_Jpan,0.9,0.6076,0.9
wol_Latn,0.11,0.0628,0.11
ceb_Latn,0.45,0.2568,0.45
deu_Latn,0.98,0.7944,0.98
tur_Latn,0.93,0.6556,0.93
afr_Latn,0.97,0.704,0.97
arz_Arab,0.86,0.4944,0.86
gaz_Latn,0.13,0.048,0.13
