code,google/gemma-4-E2B_max,google/gemma-4-E2B_mean,avg
war_Latn,0.3981,0.0782,0.3981
nso_Latn,0.2718,0.0318,0.2718
hau_Latn,0.5437,0.0841,0.5437
sin_Sinh,0.7184,0.1087,0.7184
lit_Latn,0.8544,0.2222,0.8544
afr_Latn,0.8738,0.3471,0.8738
pes_Arab,0.9126,0.2136,0.9126
mkd_Cyrl,0.9126,0.3269,0.9126
kor_Hang,0.9126,0.2872,0.9126
ind_Latn,0.932,0.418,0.932
kir_Cyrl,0.5922,0.0761,0.5922
arb_Arab,0.8932,0.2567,0.8932
tsn_Latn,0.2816,0.0359,0.2816
fin_Latn,0.9029,0.2845,0.9029
ibo_Latn,0.4175,0.0618,0.4175
spa_Latn,0.8932,0.3444,0.8932
ell_Grek,0.9612,0.294,0.9612
kat_Geor,0.8932,0.2209,0.8932
slk_Latn,0.8835,0.2422,0.8835
nya_Latn,0.4078,0.0663,0.4078
kaz_Cyrl,0.7184,0.0947,0.7184
ben_Beng,0.932,0.2665,0.932
hat_Latn,0.5437,0.0939,0.5437
ory_Orya,0.5631,0.0782,0.5631
tir_Ethi,0.466,0.0742,0.466
hun_Latn,0.8641,0.294,0.8641
eus_Latn,0.0874,0.0124,0.0874
sot_Latn,0.2913,0.0458,0.2913
urd_Arab,0.7282,0.1241,0.7282
kan_Knda,0.7282,0.1259,0.7282
nob_Latn,0.8932,0.401,0.8932
lug_Latn,0.1262,0.0135,0.1262
zsm_Latn,0.4078,0.0814,0.4078
fra_Latn,0.9417,0.4811,0.9417
tgk_Cyrl,0.7476,0.1143,0.7476
dan_Latn,0.9515,0.4094,0.9515
shn_Mymr,0.0291,0.0016,0.0291
urd_Latn,0.534,0.0477,0.534
pan_Guru,0.7767,0.1367,0.7767
xho_Latn,0.3204,0.0437,0.3204
pol_Latn,0.9223,0.3576,0.9223
tha_Thai,0.8447,0.223,0.8447
por_Latn,0.932,0.4024,0.932
guj_Gujr,0.767,0.1785,0.767
tam_Taml,0.7476,0.1769,0.7476
fuv_Latn,0.0291,0.0022,0.0291
tso_Latn,0.2039,0.0283,0.2039
luo_Latn,0.0194,0.0022,0.0194
eng_Latn,1.0,1.0,1.0
hrv_Latn,0.835,0.2395,0.835
amh_Ethi,0.7573,0.1783,0.7573
slv_Latn,0.8738,0.2403,0.8738
mal_Mlym,0.7864,0.1691,0.7864
wol_Latn,0.0097,0.0011,0.0097
tur_Latn,0.8058,0.1664,0.8058
cat_Latn,0.8641,0.2427,0.8641
hin_Deva,0.9126,0.2584,0.9126
hin_Latn,0.5243,0.0537,0.5243
mar_Deva,0.8835,0.1842,0.8835
swh_Latn,0.8155,0.2174,0.8155
bul_Cyrl,0.9417,0.3498,0.9417
kin_Latn,0.3301,0.0545,0.3301
bam_Latn,0.0097,0.0016,0.0097
plt_Latn,0.5437,0.1057,0.5437
ary_Arab,0.2136,0.0321,0.2136
zul_Latn,0.4466,0.0793,0.4466
heb_Hebr,0.7184,0.1677,0.7184
npi_Deva,0.8252,0.1912,0.8252
ron_Latn,0.9417,0.3797,0.9417
ckb_Arab,0.2621,0.0256,0.2621
snd_Arab,0.3786,0.0348,0.3786
sun_Latn,0.3107,0.0402,0.3107
ilo_Latn,0.2136,0.0305,0.2136
som_Latn,0.4563,0.051,0.4563
asm_Beng,0.7282,0.1478,0.7282
ukr_Cyrl,0.8932,0.3393,0.8932
tel_Telu,0.7573,0.1462,0.7573
tgl_Latn,0.835,0.2497,0.835
deu_Latn,0.8447,0.2015,0.8447
swe_Latn,0.8641,0.332,0.8641
rus_Cyrl,0.9709,0.4884,0.9709
nld_Latn,0.9709,0.5229,0.9709
yor_Latn,0.2718,0.051,0.2718
khm_Khmr,0.699,0.1586,0.699
sna_Latn,0.3981,0.0515,0.3981
mya_Mymr,0.5243,0.0674,0.5243
srp_Cyrl,0.8155,0.2762,0.8155
lin_Latn,0.1748,0.0302,0.1748
ces_Latn,0.9029,0.3287,0.9029
mri_Latn,0.2621,0.0289,0.2621
kac_Latn,0.0097,0.0008,0.0097
vie_Latn,0.8641,0.2869,0.8641
est_Latn,0.8155,0.2249,0.8155
mlt_Latn,0.5728,0.1435,0.5728
isl_Latn,0.7767,0.1958,0.7767
ita_Latn,0.932,0.4196,0.932
jav_Latn,0.233,0.0431,0.233
ceb_Latn,0.6214,0.1462,0.6214
ssw_Latn,0.2233,0.0372,0.2233
arz_Arab,0.9126,0.3484,0.9126
hye_Armn,0.8738,0.2222,0.8738
