code,intfloat/multilingual-e5-base_max,intfloat/multilingual-e5-base_mean,avg
ita_Latn,1.0,0.751,1.0
ron_Latn,0.999,0.7022,0.999
ces_Latn,0.999,0.69,0.999
pbt_Arab,0.9911,0.414,0.9911
pan_Guru,0.9941,0.3848,0.9941
lit_Latn,0.9852,0.5868,0.9852
sot_Latn,0.9694,0.2066,0.9694
war_Latn,0.9911,0.3988,0.9911
tel_Telu,0.999,0.4616,0.999
hin_Deva,1.0,0.6206,1.0
pes_Arab,0.997,0.6859,0.997
apc_Arab,0.9644,0.5626,0.9644
kir_Cyrl,0.9951,0.4619,0.9951
ast_Latn,0.9941,0.57,0.9941
ilo_Latn,0.9585,0.2584,0.9585
acm_Arab,0.9743,0.5971,0.9743
kea_Latn,0.9812,0.3791,0.9812
tir_Ethi,0.9051,0.1587,0.9051
khk_Cyrl,0.9911,0.4631,0.9911
amh_Ethi,0.9931,0.4156,0.9931
khm_Khmr,0.9753,0.3126,0.9753
hye_Armn,0.996,0.5219,0.996
pol_Latn,0.9951,0.6576,0.9951
uzn_Latn,0.998,0.4215,0.998
ind_Latn,0.999,0.7871,0.999
hun_Latn,0.9941,0.6657,0.9941
sna_Latn,0.9466,0.2137,0.9466
nob_Latn,0.999,0.7851,0.999
ibo_Latn,0.9318,0.1454,0.9318
kan_Knda,0.999,0.4571,0.999
kor_Hang,0.9852,0.5448,0.9852
bul_Cyrl,0.997,0.7164,0.997
plt_Latn,0.9506,0.2662,0.9506
fuv_Latn,0.5652,0.1186,0.5652
mal_Mlym,0.998,0.4648,0.998
lvs_Latn,0.9921,0.5841,0.9921
isl_Latn,0.9654,0.5053,0.9654
fin_Latn,0.9931,0.6225,0.9931
slk_Latn,0.997,0.6716,0.997
lug_Latn,0.8241,0.1706,0.8241
ukr_Cyrl,0.996,0.676,0.996
arb_Arab,0.9852,0.6259,0.9852
arb_Latn,0.2451,0.0361,0.2451
nya_Latn,0.9526,0.2426,0.9526
asm_Beng,0.9931,0.2362,0.9931
grn_Latn,0.8735,0.1483,0.8735
zsm_Latn,0.999,0.7412,0.999
est_Latn,0.9783,0.6135,0.9783
als_Latn,1.0,0.5673,1.0
lao_Laoo,0.9773,0.3875,0.9773
tgk_Cyrl,0.9615,0.1568,0.9615
kin_Latn,0.9377,0.194,0.9377
rus_Cyrl,0.996,0.7236,0.996
zho_Hant,0.996,0.6436,0.996
arz_Arab,0.9733,0.553,0.9733
gaz_Latn,0.7668,0.1399,0.7668
afr_Latn,0.997,0.6699,0.997
eus_Latn,0.9862,0.5188,0.9862
guj_Gujr,0.999,0.4575,0.999
mya_Mymr,0.9812,0.2869,0.9812
tur_Latn,0.999,0.6776,0.999
deu_Latn,1.0,0.785,1.0
ceb_Latn,0.9901,0.3979,0.9901
wol_Latn,0.7945,0.1472,0.7945
jpn_Jpan,0.997,0.6102,0.997
cat_Latn,0.999,0.6882,0.999
bam_Latn,0.7698,0.1303,0.7698
yor_Latn,0.8261,0.1114,0.8261
zul_Latn,0.9792,0.284,0.9792
hrv_Latn,0.999,0.7066,0.999
slv_Latn,0.9951,0.6557,0.9951
swh_Latn,0.9901,0.5689,0.9901
glg_Latn,1.0,0.7791,1.0
xho_Latn,0.9684,0.3031,0.9684
tsn_Latn,0.9387,0.1766,0.9387
sin_Sinh,0.996,0.4688,0.996
heb_Hebr,0.9862,0.6285,0.9862
mlt_Latn,0.9881,0.1792,0.9881
tso_Latn,0.9012,0.1643,0.9012
ben_Beng,0.999,0.5068,0.999
mri_Latn,0.8804,0.1464,0.8804
dan_Latn,1.0,0.8048,1.0
ckb_Arab,0.9476,0.1469,0.9476
spa_Latn,0.999,0.7693,0.999
som_Latn,0.9387,0.305,0.9387
zho_Hans,0.9951,0.6465,0.9951
jav_Latn,0.9921,0.5632,0.9921
sun_Latn,0.9921,0.4998,0.9921
ssw_Latn,0.8804,0.1977,0.8804
ars_Arab,0.9852,0.6199,0.9852
tgl_Latn,0.996,0.5023,0.996
eng_Latn,1.0,1.0,1.0
swe_Latn,1.0,0.8019,1.0
nld_Latn,0.999,0.7395,0.999
por_Latn,0.999,0.7984,0.999
vie_Latn,1.0,0.6925,1.0
mar_Deva,0.997,0.5649,0.997
lin_Latn,0.9338,0.2371,0.9338
fra_Latn,1.0,0.7431,1.0
urd_Arab,0.997,0.5763,0.997
oci_Latn,0.9931,0.4223,0.9931
kaz_Cyrl,0.9951,0.4872,0.9951
shn_Mymr,0.5771,0.0521,0.5771
tha_Thai,0.9951,0.6042,0.9951
tam_Taml,0.999,0.4753,0.999
hat_Latn,0.9783,0.3577,0.9783
kat_Geor,0.9941,0.4384,0.9941
hau_Latn,0.9387,0.3329,0.9387
bod_Tibt,0.0652,0.0088,0.0652
ell_Grek,0.9931,0.5413,0.9931
