code,Qwen/Qwen3-0.6B_max,Qwen/Qwen3-0.6B_mean,avg
swe_Latn,0.4563,0.1272,0.4563
tgl_Latn,0.0485,0.0181,0.0485
eng_Latn,1.0,1.0,1.0
nld_Latn,0.5728,0.1687,0.5728
lin_Latn,0.0097,0.003,0.0097
fra_Latn,0.7767,0.3324,0.7767
por_Latn,0.6893,0.2839,0.6893
urd_Latn,0.0097,0.002,0.0097
mar_Deva,0.0097,0.0027,0.0097
vie_Latn,0.4563,0.1724,0.4563
spa_Latn,0.5049,0.1915,0.5049
som_Latn,0.0097,0.001,0.0097
mri_Latn,0.0097,0.0003,0.0097
dan_Latn,0.466,0.1366,0.466
ckb_Arab,0.0291,0.0074,0.0291
ssw_Latn,0.0291,0.008,0.0291
sun_Latn,0.0388,0.0151,0.0388
jav_Latn,0.0291,0.0054,0.0291
kat_Geor,0.0097,0.0003,0.0097
tha_Thai,0.2816,0.0479,0.2816
tam_Taml,0.0097,0.0003,0.0097
hat_Latn,0.0194,0.005,0.0194
ell_Grek,0.0874,0.0124,0.0874
hau_Latn,0.0097,0.0003,0.0097
urd_Arab,0.0388,0.003,0.0388
nso_Latn,0.0194,0.007,0.0194
npi_Deva,0.0097,0.0007,0.0097
shn_Mymr,0.0,0.0,0.0
kaz_Cyrl,0.0194,0.0033,0.0194
mya_Mymr,0.0,0.0,0.0
guj_Gujr,0.0097,0.0007,0.0097
eus_Latn,0.0097,0.003,0.0097
ary_Arab,0.0097,0.0007,0.0097
wol_Latn,0.0194,0.0057,0.0194
ceb_Latn,0.0485,0.0094,0.0485
tur_Latn,0.1748,0.0348,0.1748
deu_Latn,0.2136,0.0619,0.2136
mkd_Cyrl,0.2427,0.0526,0.2427
hin_Latn,0.0097,0.0037,0.0097
afr_Latn,0.2621,0.0676,0.2621
srp_Cyrl,0.1942,0.0408,0.1942
arz_Arab,0.0777,0.008,0.0777
xho_Latn,0.0194,0.004,0.0194
tsn_Latn,0.0194,0.0017,0.0194
sin_Sinh,0.0,0.0,0.0
swh_Latn,0.0097,0.0013,0.0097
tso_Latn,0.0194,0.005,0.0194
heb_Hebr,0.1262,0.0231,0.1262
mlt_Latn,0.0097,0.0033,0.0097
ben_Beng,0.0485,0.0047,0.0485
zul_Latn,0.0194,0.005,0.0194
hrv_Latn,0.165,0.0418,0.165
kac_Latn,0.0097,0.001,0.0097
cat_Latn,0.4951,0.1473,0.4951
bam_Latn,0.0097,0.0033,0.0097
yor_Latn,0.0097,0.001,0.0097
slv_Latn,0.1068,0.0362,0.1068
slk_Latn,0.1942,0.0482,0.1942
lug_Latn,0.0097,0.0003,0.0097
ukr_Cyrl,0.3398,0.0713,0.3398
isl_Latn,0.0485,0.0144,0.0485
snd_Arab,0.0,0.0,0.0
fin_Latn,0.0971,0.0177,0.0971
arb_Arab,0.1748,0.0295,0.1748
ibo_Latn,0.0194,0.0023,0.0194
kor_Hang,0.2233,0.0432,0.2233
kan_Knda,0.0,0.0,0.0
sna_Latn,0.0097,0.0023,0.0097
nob_Latn,0.4466,0.1199,0.4466
hun_Latn,0.0971,0.0194,0.0971
bul_Cyrl,0.466,0.0944,0.466
fuv_Latn,0.0097,0.0007,0.0097
mal_Mlym,0.0097,0.0003,0.0097
plt_Latn,0.0097,0.0023,0.0097
est_Latn,0.0291,0.009,0.0291
zsm_Latn,0.068,0.0218,0.068
rus_Cyrl,0.6505,0.2323,0.6505
tgk_Cyrl,0.0,0.0,0.0
kin_Latn,0.0194,0.0067,0.0194
nya_Latn,0.0097,0.002,0.0097
asm_Beng,0.0097,0.0017,0.0097
pan_Guru,0.0,0.0,0.0
hin_Deva,0.0485,0.0067,0.0485
pes_Arab,0.1165,0.0271,0.1165
kir_Cyrl,0.0,0.0,0.0
war_Latn,0.0194,0.0127,0.0194
lit_Latn,0.0485,0.0198,0.0485
sot_Latn,0.0194,0.0064,0.0194
luo_Latn,0.0194,0.008,0.0194
tel_Telu,0.0194,0.0044,0.0194
ron_Latn,0.2816,0.0743,0.2816
ita_Latn,0.6699,0.2862,0.6699
ces_Latn,0.3107,0.0666,0.3107
hye_Armn,0.0194,0.0047,0.0194
khm_Khmr,0.0097,0.0007,0.0097
ind_Latn,0.6214,0.2203,0.6214
ory_Orya,0.0097,0.0007,0.0097
pol_Latn,0.3592,0.1021,0.3592
ilo_Latn,0.0194,0.0044,0.0194
amh_Ethi,0.0097,0.0003,0.0097
tir_Ethi,0.0,0.0,0.0
