code,Qwen/Qwen3-Embedding-4B_max,Qwen/Qwen3-Embedding-4B_mean,avg
wol_Latn,0.0291,0.0155,0.0291
ceb_Latn,0.5243,0.1763,0.5243
deu_Latn,0.9029,0.4904,0.9029
tur_Latn,0.8058,0.3805,0.8058
mya_Mymr,0.4078,0.0622,0.4078
guj_Gujr,0.6408,0.1787,0.6408
ary_Arab,0.2718,0.0651,0.2718
eus_Latn,0.0777,0.0325,0.0777
hin_Latn,0.2427,0.0792,0.2427
afr_Latn,0.932,0.5329,0.932
srp_Cyrl,0.8738,0.386,0.8738
arz_Arab,0.8544,0.3311,0.8544
mkd_Cyrl,0.8932,0.4201,0.8932
tso_Latn,0.0388,0.0178,0.0388
mlt_Latn,0.1456,0.0611,0.1456
heb_Hebr,0.7282,0.4159,0.7282
ben_Beng,0.835,0.2997,0.835
xho_Latn,0.0388,0.0094,0.0388
tsn_Latn,0.0194,0.01,0.0194
sin_Sinh,0.1165,0.0283,0.1165
swh_Latn,0.165,0.0653,0.165
slv_Latn,0.7961,0.3537,0.7961
hrv_Latn,0.8058,0.3692,0.8058
zul_Latn,0.0485,0.0139,0.0485
kac_Latn,0.0291,0.0076,0.0291
cat_Latn,0.932,0.5072,0.932
bam_Latn,0.0388,0.0129,0.0388
yor_Latn,0.0874,0.0234,0.0874
lin_Latn,0.0291,0.016,0.0291
fra_Latn,0.9709,0.6458,0.9709
por_Latn,0.9806,0.6421,0.9806
mar_Deva,0.6311,0.2154,0.6311
urd_Latn,0.4175,0.1522,0.4175
vie_Latn,0.9515,0.583,0.9515
swe_Latn,0.932,0.524,0.932
tgl_Latn,0.5728,0.2404,0.5728
eng_Latn,1.0,1.0,1.0
nld_Latn,0.9612,0.6048,0.9612
ssw_Latn,0.0485,0.0131,0.0485
sun_Latn,0.2136,0.0779,0.2136
jav_Latn,0.2136,0.0782,0.2136
spa_Latn,0.9515,0.6224,0.9515
som_Latn,0.0388,0.0084,0.0388
mri_Latn,0.0874,0.0241,0.0874
dan_Latn,0.8835,0.5112,0.8835
ckb_Arab,0.0388,0.0084,0.0388
ell_Grek,0.8252,0.3036,0.8252
hau_Latn,0.068,0.0155,0.068
kat_Geor,0.2233,0.0842,0.2233
tha_Thai,0.835,0.2997,0.835
tam_Taml,0.6602,0.165,0.6602
hat_Latn,0.233,0.0834,0.233
nso_Latn,0.0291,0.0121,0.0291
npi_Deva,0.5631,0.1713,0.5631
kaz_Cyrl,0.3883,0.1309,0.3883
shn_Mymr,0.0,0.0,0.0
urd_Arab,0.6699,0.2524,0.6699
pes_Arab,0.8058,0.329,0.8058
hin_Deva,0.9029,0.3283,0.9029
kir_Cyrl,0.2039,0.0512,0.2039
war_Latn,0.3204,0.0706,0.3204
sot_Latn,0.0388,0.0181,0.0388
lit_Latn,0.7767,0.3616,0.7767
luo_Latn,0.0485,0.0205,0.0485
tel_Telu,0.6311,0.1926,0.6311
pan_Guru,0.4563,0.1262,0.4563
ces_Latn,0.9417,0.4841,0.9417
ron_Latn,0.9029,0.4665,0.9029
ita_Latn,0.9806,0.7035,0.9806
ind_Latn,0.9126,0.5505,0.9126
ory_Orya,0.6796,0.1923,0.6796
pol_Latn,0.8932,0.4965,0.8932
hye_Armn,0.6311,0.195,0.6311
khm_Khmr,0.3495,0.0564,0.3495
amh_Ethi,0.0777,0.0163,0.0777
tir_Ethi,0.0194,0.001,0.0194
ilo_Latn,0.0971,0.0307,0.0971
arb_Arab,0.8835,0.3925,0.8835
slk_Latn,0.8835,0.4534,0.8835
lug_Latn,0.0388,0.0087,0.0388
ukr_Cyrl,0.9515,0.4744,0.9515
isl_Latn,0.4369,0.1391,0.4369
snd_Arab,0.4466,0.1378,0.4466
fin_Latn,0.5728,0.2453,0.5728
bul_Cyrl,0.9223,0.5038,0.9223
mal_Mlym,0.6408,0.1892,0.6408
fuv_Latn,0.0388,0.0073,0.0388
plt_Latn,0.0388,0.0171,0.0388
ibo_Latn,0.0388,0.0157,0.0388
kor_Hang,0.9029,0.4663,0.9029
kan_Knda,0.5049,0.1388,0.5049
sna_Latn,0.0291,0.0155,0.0291
nob_Latn,0.8932,0.5366,0.8932
hun_Latn,0.8544,0.3983,0.8544
rus_Cyrl,0.9612,0.6172,0.9612
tgk_Cyrl,0.1942,0.0685,0.1942
kin_Latn,0.0485,0.0115,0.0485
est_Latn,0.6214,0.2223,0.6214
zsm_Latn,0.3883,0.1388,0.3883
asm_Beng,0.5534,0.1609,0.5534
nya_Latn,0.0388,0.0147,0.0388
