code,swiss-ai/Apertus-v1.5-8B_max,swiss-ai/Apertus-v1.5-8B_mean,avg
acm_Arab,0.7,0.4627,0.7
afr_Latn,0.78,0.2967,0.78
als_Latn,0.63,0.2248,0.63
amh_Ethi,0.05,0.0167,0.05
apc_Arab,0.74,0.4636,0.74
arb_Arab,0.8,0.5439,0.8
arb_Latn,0.13,0.0512,0.13
ars_Arab,0.75,0.5348,0.75
arz_Arab,0.66,0.3903,0.66
asm_Beng,0.07,0.0288,0.07
ast_Latn,0.86,0.4279,0.86
bam_Latn,0.08,0.0397,0.08
ben_Beng,0.32,0.1694,0.32
bod_Tibt,0.02,0.0088,0.02
bul_Cyrl,0.64,0.2618,0.64
cat_Latn,0.83,0.4121,0.83
ceb_Latn,0.39,0.1318,0.39
ces_Latn,0.67,0.3461,0.67
ckb_Arab,0.09,0.033,0.09
dan_Latn,0.64,0.3436,0.64
deu_Latn,0.67,0.4585,0.67
ell_Grek,0.6,0.1791,0.6
eng_Latn,1.0,1.0,1.0
est_Latn,0.49,0.2315,0.49
eus_Latn,0.33,0.1342,0.33
fin_Latn,0.5,0.2418,0.5
fra_Latn,0.88,0.6221,0.88
fuv_Latn,0.23,0.0827,0.23
gaz_Latn,0.07,0.0306,0.07
glg_Latn,0.83,0.5206,0.83
grn_Latn,0.24,0.0467,0.24
guj_Gujr,0.27,0.0852,0.27
hat_Latn,0.38,0.1352,0.38
hau_Latn,0.22,0.0618,0.22
heb_Hebr,0.64,0.2482,0.64
hin_Deva,0.53,0.2297,0.53
hrv_Latn,0.75,0.3376,0.75
hun_Latn,0.48,0.2694,0.48
hye_Armn,0.39,0.197,0.39
ibo_Latn,0.14,0.0485,0.14
ilo_Latn,0.29,0.1015,0.29
ind_Latn,0.84,0.5255,0.84
isl_Latn,0.42,0.153,0.42
ita_Latn,0.81,0.4833,0.81
jav_Latn,0.35,0.1712,0.35
jpn_Jpan,0.49,0.2264,0.49
kan_Knda,0.33,0.1221,0.33
kat_Geor,0.3,0.1121,0.3
kaz_Cyrl,0.19,0.0909,0.19
kea_Latn,0.58,0.25,0.58
khk_Cyrl,0.14,0.0448,0.14
khm_Khmr,0.05,0.0124,0.05
kin_Latn,0.22,0.063,0.22
kir_Cyrl,0.14,0.0603,0.14
kor_Hang,0.76,0.3703,0.76
lao_Laoo,0.04,0.0121,0.04
lin_Latn,0.22,0.0724,0.22
lit_Latn,0.5,0.2161,0.5
lug_Latn,0.23,0.0706,0.23
lvs_Latn,0.46,0.157,0.46
mal_Mlym,0.25,0.0994,0.25
mar_Deva,0.25,0.0815,0.25
mlt_Latn,0.54,0.1564,0.54
mri_Latn,0.21,0.0591,0.21
mya_Mymr,0.13,0.05,0.13
nld_Latn,0.78,0.4624,0.78
nob_Latn,0.79,0.4682,0.79
nya_Latn,0.21,0.0591,0.21
oci_Latn,0.85,0.3312,0.85
pan_Guru,0.22,0.0712,0.22
pbt_Arab,0.18,0.0706,0.18
pes_Arab,0.64,0.3673,0.64
plt_Latn,0.18,0.0479,0.18
pol_Latn,0.57,0.2552,0.57
por_Latn,0.89,0.6503,0.89
ron_Latn,0.77,0.3594,0.77
rus_Cyrl,0.7,0.3539,0.7
shn_Mymr,0.03,0.0036,0.03
sin_Sinh,0.03,0.0073,0.03
slk_Latn,0.6,0.2858,0.6
slv_Latn,0.63,0.2976,0.63
sna_Latn,0.18,0.0488,0.18
som_Latn,0.21,0.0624,0.21
sot_Latn,0.24,0.0455,0.24
spa_Latn,0.82,0.5148,0.82
ssw_Latn,0.19,0.0518,0.19
sun_Latn,0.41,0.1903,0.41
swe_Latn,0.83,0.4861,0.83
swh_Latn,0.34,0.1345,0.34
tam_Taml,0.28,0.1127,0.28
tel_Telu,0.26,0.1352,0.26
tgk_Cyrl,0.14,0.0582,0.14
tgl_Latn,0.37,0.1515,0.37
tha_Thai,0.3,0.1197,0.3
tir_Ethi,0.03,0.0106,0.03
tsn_Latn,0.21,0.0615,0.21
tso_Latn,0.21,0.0533,0.21
tur_Latn,0.44,0.2197,0.44
ukr_Cyrl,0.6,0.2536,0.6
urd_Arab,0.36,0.1467,0.36
uzn_Latn,0.22,0.0855,0.22
vie_Latn,0.74,0.4109,0.74
war_Latn,0.47,0.1688,0.47
wol_Latn,0.21,0.0676,0.21
xho_Latn,0.18,0.0561,0.18
yor_Latn,0.09,0.043,0.09
zho_Hans,0.88,0.3909,0.88
zho_Hant,0.71,0.3779,0.71
zsm_Latn,0.83,0.4582,0.83
zul_Latn,0.16,0.0503,0.16
