code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
shn_Mymr,0.0148,0.0066,0.0148
kaz_Cyrl,0.914,0.4752,0.914
urd_Arab,0.9219,0.5678,0.9219
oci_Latn,0.9921,0.6732,0.9921
ell_Grek,0.9842,0.7497,0.9842
hau_Latn,0.584,0.2449,0.584
bod_Tibt,0.0583,0.0162,0.0583
tha_Thai,0.752,0.3969,0.752
tam_Taml,0.1028,0.0383,0.1028
hat_Latn,0.8972,0.5298,0.8972
kat_Geor,0.8982,0.5246,0.8982
jav_Latn,0.914,0.5345,0.914
zho_Hans,0.9931,0.8754,0.9931
ssw_Latn,0.252,0.1109,0.252
sun_Latn,0.8745,0.4811,0.8745
ars_Arab,0.9911,0.8019,0.9911
mri_Latn,0.5662,0.229,0.5662
dan_Latn,0.997,0.7802,0.997
ckb_Arab,0.7401,0.339,0.7401
spa_Latn,0.996,0.8803,0.996
som_Latn,0.6087,0.266,0.6087
por_Latn,1.0,0.9069,1.0
mar_Deva,0.2708,0.1025,0.2708
vie_Latn,0.998,0.8459,0.998
lin_Latn,0.1927,0.0879,0.1927
fra_Latn,0.999,0.9131,0.999
swe_Latn,1.0,0.7752,1.0
tgl_Latn,0.9437,0.553,0.9437
eng_Latn,1.0,1.0,1.0
nld_Latn,0.997,0.774,0.997
slv_Latn,0.9842,0.6967,0.9842
cat_Latn,0.998,0.7911,0.998
bam_Latn,0.0405,0.0244,0.0405
yor_Latn,0.2164,0.0891,0.2164
zul_Latn,0.667,0.2625,0.667
hrv_Latn,0.996,0.7446,0.996
tso_Latn,0.1166,0.0545,0.1166
heb_Hebr,0.9891,0.7252,0.9891
mlt_Latn,0.9723,0.5898,0.9723
ben_Beng,0.5682,0.2539,0.5682
swh_Latn,0.9032,0.4735,0.9032
glg_Latn,1.0,0.7716,1.0
xho_Latn,0.6324,0.2574,0.6324
tsn_Latn,0.3715,0.148,0.3715
sin_Sinh,0.4486,0.2164,0.4486
arz_Arab,0.9476,0.6607,0.9476
gaz_Latn,0.0652,0.0275,0.0652
afr_Latn,0.9951,0.7056,0.9951
ceb_Latn,0.8478,0.4622,0.8478
tur_Latn,0.9753,0.6833,0.9753
deu_Latn,0.999,0.8815,0.999
wol_Latn,0.164,0.0744,0.164
jpn_Jpan,0.9812,0.7469,0.9812
guj_Gujr,0.5287,0.24,0.5287
eus_Latn,0.9061,0.4995,0.9061
mya_Mymr,0.0632,0.0203,0.0632
asm_Beng,0.4437,0.2014,0.4437
arb_Latn,0.2569,0.1132,0.2569
nya_Latn,0.4111,0.1631,0.4111
tgk_Cyrl,0.8923,0.4738,0.8923
kin_Latn,0.6117,0.2316,0.6117
rus_Cyrl,0.996,0.8953,0.996
zho_Hant,0.9891,0.8513,0.9891
est_Latn,0.9783,0.6559,0.9783
grn_Latn,0.1453,0.0697,0.1453
zsm_Latn,0.9941,0.7831,0.9941
als_Latn,0.9812,0.6498,0.9812
lao_Laoo,0.5306,0.2584,0.5306
bul_Cyrl,0.9872,0.7476,0.9872
fuv_Latn,0.0781,0.0496,0.0781
mal_Mlym,0.2016,0.0891,0.2016
plt_Latn,0.4318,0.1759,0.4318
lvs_Latn,0.9822,0.6703,0.9822
sna_Latn,0.3636,0.144,0.3636
nob_Latn,0.9911,0.753,0.9911
hun_Latn,0.9931,0.6855,0.9931
ibo_Latn,0.5,0.216,0.5
kor_Hang,0.9812,0.7695,0.9812
kan_Knda,0.4279,0.2022,0.4279
arb_Arab,0.9901,0.8046,0.9901
isl_Latn,0.9595,0.545,0.9595
fin_Latn,0.9891,0.6762,0.9891
slk_Latn,0.9881,0.7194,0.9881
lug_Latn,0.1393,0.0659,0.1393
ukr_Cyrl,0.9941,0.782,0.9941
khk_Cyrl,0.7737,0.3843,0.7737
amh_Ethi,0.416,0.1582,0.416
tir_Ethi,0.1621,0.0537,0.1621
ast_Latn,0.9872,0.7018,0.9872
acm_Arab,0.9713,0.7404,0.9713
ilo_Latn,0.4545,0.2162,0.4545
kea_Latn,0.7678,0.4609,0.7678
pol_Latn,0.996,0.7668,0.996
uzn_Latn,0.8696,0.4851,0.8696
ind_Latn,1.0,0.8652,1.0
hye_Armn,0.9338,0.5759,0.9338
khm_Khmr,0.3696,0.1649,0.3696
ces_Latn,0.9941,0.7565,0.9941
ron_Latn,0.997,0.7758,0.997
ita_Latn,1.0,0.867,1.0
war_Latn,0.666,0.3362,0.666
lit_Latn,0.9812,0.6636,0.9812
sot_Latn,0.5652,0.2124,0.5652
tel_Telu,0.2322,0.1025,0.2322
hin_Deva,0.6709,0.3032,0.6709
pes_Arab,0.9881,0.7542,0.9881
kir_Cyrl,0.8053,0.407,0.8053
apc_Arab,0.9634,0.7064,0.9634
pbt_Arab,0.749,0.3756,0.749
pan_Guru,0.748,0.3706,0.748
