code,Qwen/Qwen3-Embedding-0.6B_max,Qwen/Qwen3-Embedding-0.6B_mean,avg
slv_Latn,0.88,0.449,0.88
yor_Latn,0.4,0.1228,0.4
bam_Latn,0.42,0.1134,0.42
cat_Latn,0.99,0.6197,0.99
zul_Latn,0.35,0.1062,0.35
hrv_Latn,0.91,0.4883,0.91
ben_Beng,0.83,0.3369,0.83
heb_Hebr,0.95,0.5203,0.95
mlt_Latn,0.73,0.3055,0.73
tso_Latn,0.48,0.1345,0.48
glg_Latn,0.99,0.6824,0.99
swh_Latn,0.57,0.1769,0.57
sin_Sinh,0.18,0.0283,0.18
tsn_Latn,0.44,0.1379,0.44
xho_Latn,0.41,0.14,0.41
arz_Arab,0.93,0.54,0.93
gaz_Latn,0.19,0.071,0.19
afr_Latn,0.95,0.5562,0.95
tur_Latn,0.93,0.4931,0.93
deu_Latn,1.0,0.6876,1.0
ceb_Latn,0.84,0.3566,0.84
jpn_Jpan,0.97,0.6069,0.97
wol_Latn,0.54,0.1641,0.54
eus_Latn,0.59,0.2228,0.59
guj_Gujr,0.85,0.1986,0.85
mya_Mymr,0.33,0.0566,0.33
shn_Mymr,0.18,0.0245,0.18
kaz_Cyrl,0.75,0.2479,0.75
oci_Latn,0.95,0.5666,0.95
urd_Arab,0.82,0.3586,0.82
bod_Tibt,0.07,0.0262,0.07
hau_Latn,0.46,0.1821,0.46
ell_Grek,0.8,0.2952,0.8
hat_Latn,0.69,0.3014,0.69
tam_Taml,0.66,0.1472,0.66
tha_Thai,0.93,0.4055,0.93
kat_Geor,0.59,0.1555,0.59
zho_Hans,1.0,0.861,1.0
jav_Latn,0.84,0.3697,0.84
ars_Arab,0.97,0.581,0.97
sun_Latn,0.84,0.3741,0.84
ssw_Latn,0.37,0.121,0.37
ckb_Arab,0.43,0.1093,0.43
dan_Latn,0.96,0.611,0.96
mri_Latn,0.47,0.1628,0.47
som_Latn,0.48,0.1586,0.48
spa_Latn,1.0,0.7293,1.0
vie_Latn,1.0,0.711,1.0
mar_Deva,0.86,0.2776,0.86
por_Latn,0.99,0.7566,0.99
fra_Latn,1.0,0.7103,1.0
lin_Latn,0.47,0.1776,0.47
nld_Latn,0.99,0.66,0.99
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.85,0.3669,0.85
swe_Latn,0.97,0.6024,0.97
tir_Ethi,0.14,0.0352,0.14
khk_Cyrl,0.48,0.1207,0.48
amh_Ethi,0.27,0.0648,0.27
acm_Arab,0.97,0.5648,0.97
ilo_Latn,0.72,0.2614,0.72
ast_Latn,0.99,0.631,0.99
kea_Latn,0.73,0.3655,0.73
pol_Latn,0.98,0.5993,0.98
ind_Latn,0.97,0.5986,0.97
uzn_Latn,0.7,0.2017,0.7
khm_Khmr,0.42,0.0769,0.42
hye_Armn,0.6,0.1824,0.6
ces_Latn,0.96,0.52,0.96
ita_Latn,1.0,0.7017,1.0
ron_Latn,0.98,0.5803,0.98
tel_Telu,0.69,0.1283,0.69
lit_Latn,0.73,0.3555,0.73
sot_Latn,0.53,0.1428,0.53
war_Latn,0.89,0.3893,0.89
apc_Arab,0.94,0.5331,0.94
kir_Cyrl,0.47,0.16,0.47
hin_Deva,0.99,0.4907,0.99
pes_Arab,0.94,0.3534,0.94
pan_Guru,0.8,0.2128,0.8
pbt_Arab,0.58,0.2038,0.58
asm_Beng,0.66,0.1748,0.66
arb_Latn,0.24,0.1038,0.24
nya_Latn,0.51,0.1497,0.51
kin_Latn,0.4,0.1169,0.4
tgk_Cyrl,0.39,0.11,0.39
zho_Hant,0.99,0.7728,0.99
rus_Cyrl,0.98,0.6062,0.98
zsm_Latn,0.93,0.5631,0.93
grn_Latn,0.63,0.209,0.63
est_Latn,0.69,0.2883,0.69
lao_Laoo,0.37,0.0734,0.37
als_Latn,0.72,0.3038,0.72
plt_Latn,0.46,0.1434,0.46
fuv_Latn,0.43,0.1734,0.43
mal_Mlym,0.66,0.1517,0.66
bul_Cyrl,0.98,0.5338,0.98
lvs_Latn,0.82,0.3617,0.82
hun_Latn,0.87,0.4148,0.87
nob_Latn,0.94,0.5886,0.94
sna_Latn,0.41,0.1197,0.41
kan_Knda,0.7,0.1386,0.7
kor_Hang,0.95,0.5,0.95
ibo_Latn,0.41,0.1221,0.41
arb_Arab,0.97,0.5783,0.97
fin_Latn,0.75,0.3493,0.75
isl_Latn,0.34,0.1076,0.34
ukr_Cyrl,0.97,0.5141,0.97
lug_Latn,0.46,0.1517,0.46
slk_Latn,0.91,0.4634,0.91
